CANDIDATE,Timestamp,VOTE_SHARES,VOTES
grossa,2020-11-04T10:01:44Z,0,0
sullivand,2020-11-04T10:01:44Z,0,0
grossa,2020-11-04T07:49:09Z,0.344,113365
sullivand,2020-11-04T07:49:09Z,0.608,113365
grossa,2020-11-04T08:57:55Z,0.337,132144
sullivand,2020-11-04T08:57:55Z,0.617,132144
grossa,2020-11-04T18:36:02Z,0.318,172347
sullivand,2020-11-04T18:36:02Z,0.629,172347
grossa,2020-11-09T19:11:54Z,0.321,191230
sullivand,2020-11-09T19:11:54Z,0.623,191230
grossa,2020-11-11T02:47:13Z,0.364,240420
sullivand,2020-11-11T02:47:13Z,0.584,240420
grossa,2020-11-11T13:18:29Z,0.375,260627
sullivand,2020-11-11T13:18:29Z,0.575,260627
grossa,2020-11-12T16:41:44Z,0.386,285136
sullivand,2020-11-12T16:41:44Z,0.565,285136
grossa,2020-11-13T02:25:54Z,0.404,309905
sullivand,2020-11-13T02:25:54Z,0.549,309905
grossa,2020-11-13T13:56:34Z,0.409,321892
sullivand,2020-11-13T13:56:34Z,0.543,321892
grossa,2020-11-13T13:57:08Z,0.41,321925
sullivand,2020-11-13T13:57:08Z,0.543,321925
grossa,2020-11-14T02:43:03Z,0.41,332448
sullivand,2020-11-14T02:43:03Z,0.543,332448
grossa,2020-11-15T18:48:48Z,0.41,336927
sullivand,2020-11-15T18:48:48Z,0.543,336927
grossa,2020-11-16T17:01:36Z,0.413,346831
sullivand,2020-11-16T17:01:36Z,0.541,346831
grossa,2020-11-19T13:17:03Z,0.413,353297
sullivand,2020-11-19T13:17:03Z,0.54,353297
grossa,2020-11-19T00:39:05.800Z,0.413,353282
sullivand,2020-11-19T00:39:05.800Z,0.54,353282
grossa,2020-11-25T01:55:01Z,0.412,352890
sullivand,2020-11-25T01:55:01Z,0.54,352890
grossa,2020-11-25T02:14:12Z,0.412,353877
sullivand,2020-11-25T02:14:12Z,0.539,353877
grossa,2020-12-01T14:01:18Z,0.412,353595
sullivand,2020-12-01T14:01:18Z,0.54,353595
grossa,2020-12-01T17:27:40Z,0.412,353597
sullivand,2020-12-01T17:27:40Z,0.54,353597
grossa,2020-12-01T17:30:10Z,0.412,353610
sullivand,2020-12-01T17:30:10Z,0.54,353610
grossa,2020-12-01T17:32:57Z,0.412,353625
sullivand,2020-12-01T17:32:57Z,0.54,353625
grossa,2020-12-02T14:53:11Z,0.412,353648
sullivand,2020-12-02T14:53:11Z,0.54,353648
grossa,2020-12-02T14:55:28Z,0.412,353661
sullivand,2020-12-02T14:55:28Z,0.54,353661
grossa,2020-12-02T14:58:17Z,0.412,353678
sullivand,2020-12-02T14:58:17Z,0.54,353678
grossa,2020-12-02T15:00:38Z,0.412,353698
sullivand,2020-12-02T15:00:38Z,0.54,353698
grossa,2020-12-09T17:25:19Z,0.412,354587
sullivand,2020-12-09T17:25:19Z,0.539,354587
grossa,2020-12-01T01:26:11.303Z,0.413,353986
sullivand,2020-12-01T01:26:11.303Z,0.54,353986
grossa,2021-01-11T14:45:34Z,0.412,353764
sullivand,2021-01-11T14:45:34Z,0.54,353764
grossa,2021-01-11T14:50:49Z,0.412,353941
sullivand,2021-01-11T14:50:49Z,0.54,353941
grossa,2021-01-11T14:53:03Z,0.412,354054
sullivand,2021-01-11T14:53:03Z,0.54,354054
grossa,2021-01-11T14:58:52Z,0.411,354167
sullivand,2021-01-11T14:58:52Z,0.539,354167
grossa,2021-01-11T18:44:40Z,0.412,354587
sullivand,2021-01-11T18:44:40Z,0.539,354587
grossa,2021-03-11T14:05:17Z,0.412,354587
sullivand,2021-03-11T14:05:17Z,0.539,354587
