CANDIDATE,Timestamp,VOTE_SHARES,VOTES
leskod,2020-11-04T09:59:44Z,0,0
muscatom,2020-11-04T09:59:44Z,0,0
write-ins,2020-11-04T09:59:44Z,0,0
leskod,2020-11-04T03:06:41Z,0.561,313156
muscatom,2020-11-04T03:06:41Z,0.439,313156
write-ins,2020-11-04T03:06:41Z,0,313156
leskod,2020-11-04T05:08:56Z,0.561,313390
muscatom,2020-11-04T05:08:56Z,0.439,313390
write-ins,2020-11-04T05:08:56Z,0,313390
leskod,2020-11-04T06:07:46Z,0.561,313465
muscatom,2020-11-04T06:07:46Z,0.439,313465
write-ins,2020-11-04T06:07:46Z,0,313465
leskod,2020-11-04T06:43:47Z,0.561,314204
muscatom,2020-11-04T06:43:47Z,0.439,314204
write-ins,2020-11-04T06:43:47Z,0,314204
leskod,2020-11-04T07:30:48Z,0.568,326015
muscatom,2020-11-04T07:30:48Z,0.432,326015
write-ins,2020-11-04T07:30:48Z,0,326015
leskod,2020-11-04T09:27:46Z,0.577,342431
muscatom,2020-11-04T09:27:46Z,0.423,342431
write-ins,2020-11-04T09:27:46Z,0,342431
leskod,2020-11-05T02:02:47Z,0.582,357880
muscatom,2020-11-05T02:02:47Z,0.418,357880
write-ins,2020-11-05T02:02:47Z,0,357880
leskod,2020-11-05T07:42:43Z,0.586,370117
muscatom,2020-11-05T07:42:43Z,0.414,370117
write-ins,2020-11-05T07:42:43Z,0,370117
leskod,2020-11-06T02:01:44Z,0.59,384577
muscatom,2020-11-06T02:01:44Z,0.41,384577
write-ins,2020-11-06T02:01:44Z,0,384577
leskod,2020-11-06T16:02:42Z,0.591,392208
muscatom,2020-11-06T16:02:42Z,0.409,392208
write-ins,2020-11-06T16:02:42Z,0,392208
leskod,2020-11-07T02:01:40Z,0.594,406415
muscatom,2020-11-07T02:01:40Z,0.406,406415
write-ins,2020-11-07T02:01:40Z,0,406415
leskod,2020-11-07T02:08:02Z,0.593,406863
muscatom,2020-11-07T02:08:02Z,0.406,406863
write-ins,2020-11-07T02:08:02Z,0.001,406863
leskod,2020-11-07T16:01:42Z,0.595,416749
muscatom,2020-11-07T16:01:42Z,0.405,416749
write-ins,2020-11-07T16:01:42Z,0.001,416749
leskod,2020-11-08T23:01:45Z,0.595,418112
muscatom,2020-11-08T23:01:45Z,0.405,418112
write-ins,2020-11-08T23:01:45Z,0.001,418112
leskod,2020-11-10T02:01:42Z,0.595,419148
muscatom,2020-11-10T02:01:42Z,0.405,419148
write-ins,2020-11-10T02:01:42Z,0.001,419148
leskod,2020-11-11T02:01:56Z,0.596,419994
muscatom,2020-11-11T02:01:56Z,0.404,419994
write-ins,2020-11-11T02:01:56Z,0.001,419994
leskod,2020-11-11T03:26:17Z,0.596,419546
muscatom,2020-11-11T03:26:17Z,0.404,419546
leskod,2020-11-12T03:16:50Z,0.596,421693
muscatom,2020-11-12T03:16:50Z,0.404,421693
leskod,2020-11-13T04:12:14Z,0.596,422382
muscatom,2020-11-13T04:12:14Z,0.404,422382
leskod,2020-11-14T00:02:48Z,0.596,422449
muscatom,2020-11-14T00:02:48Z,0.404,422449
leskod,2020-11-19T15:57:23.813Z,0.596,422449
muscatom,2020-11-19T15:57:23.813Z,0.404,422449
leskod,2020-11-20T14:24:09Z,0.596,422449
muscatom,2020-11-20T14:24:09Z,0.404,422449
leskod,2020-11-30T21:24:05Z,0.596,422467
muscatom,2020-11-30T21:24:05Z,0.404,422467
write-ins,2020-11-30T21:24:05Z,0,422467
leskod,2020-11-30T22:46:49.523Z,0.596,422449
muscatom,2020-11-30T22:46:49.523Z,0.404,422449
leskod,2020-11-30T21:59:47Z,0.596,422467
muscatom,2020-11-30T21:59:47Z,0.404,422467
write-ins,2020-11-30T21:59:47Z,0,422467
