CANDIDATE,Timestamp,VOTE_SHARES,VOTES
gilbertf,2020-11-04T08:23:02Z,0,0
hansonw,2020-11-04T08:23:02Z,0,0
westermanb,2020-11-04T08:23:02Z,0,0
gilbertf,2020-11-04T01:47:22Z,0.018,2091
hansonw,2020-11-04T01:47:22Z,0.36,2091
westermanb,2020-11-04T01:47:22Z,0.622,2091
gilbertf,2020-11-04T01:48:01Z,0.018,5300
hansonw,2020-11-04T01:48:01Z,0.231,5300
westermanb,2020-11-04T01:48:01Z,0.751,5300
gilbertf,2020-11-04T01:49:46Z,0.021,10695
hansonw,2020-11-04T01:49:46Z,0.204,10695
westermanb,2020-11-04T01:49:46Z,0.775,10695
gilbertf,2020-11-04T01:50:48Z,0.027,49348
hansonw,2020-11-04T01:50:48Z,0.263,49348
westermanb,2020-11-04T01:50:48Z,0.709,49348
gilbertf,2020-11-04T02:01:45Z,0.027,53434
hansonw,2020-11-04T02:01:45Z,0.263,53434
westermanb,2020-11-04T02:01:45Z,0.711,53434
gilbertf,2020-11-04T02:23:26Z,0.026,63385
hansonw,2020-11-04T02:23:26Z,0.279,63385
westermanb,2020-11-04T02:23:26Z,0.695,63385
gilbertf,2020-11-04T02:27:25Z,0.026,66126
hansonw,2020-11-04T02:27:25Z,0.275,66126
westermanb,2020-11-04T02:27:25Z,0.699,66126
gilbertf,2020-11-04T02:29:16Z,0.028,70115
hansonw,2020-11-04T02:29:16Z,0.269,70115
westermanb,2020-11-04T02:29:16Z,0.703,70115
gilbertf,2020-11-04T02:29:33Z,0.028,76563
hansonw,2020-11-04T02:29:33Z,0.259,76563
westermanb,2020-11-04T02:29:33Z,0.713,76563
gilbertf,2020-11-04T02:31:49Z,0.028,78291
hansonw,2020-11-04T02:31:49Z,0.26,78291
westermanb,2020-11-04T02:31:49Z,0.713,78291
gilbertf,2020-11-04T02:35:20Z,0.027,82909
hansonw,2020-11-04T02:35:20Z,0.265,82909
westermanb,2020-11-04T02:35:20Z,0.708,82909
gilbertf,2020-11-04T02:36:12Z,0.027,87326
hansonw,2020-11-04T02:36:12Z,0.264,87326
westermanb,2020-11-04T02:36:12Z,0.708,87326
gilbertf,2020-11-04T02:40:46Z,0.028,88410
hansonw,2020-11-04T02:40:46Z,0.265,88410
westermanb,2020-11-04T02:40:46Z,0.708,88410
gilbertf,2020-11-04T02:46:03Z,0.028,90016
hansonw,2020-11-04T02:46:03Z,0.262,90016
westermanb,2020-11-04T02:46:03Z,0.71,90016
gilbertf,2020-11-04T02:49:10Z,0.028,90996
hansonw,2020-11-04T02:49:10Z,0.261,90996
westermanb,2020-11-04T02:49:10Z,0.712,90996
gilbertf,2020-11-04T02:49:28Z,0.027,95736
hansonw,2020-11-04T02:49:28Z,0.261,95736
westermanb,2020-11-04T02:49:28Z,0.712,95736
gilbertf,2020-11-04T02:51:05Z,0.028,97424
hansonw,2020-11-04T02:51:05Z,0.258,97424
westermanb,2020-11-04T02:51:05Z,0.714,97424
gilbertf,2020-11-04T02:54:48Z,0.028,98520
hansonw,2020-11-04T02:54:48Z,0.257,98520
westermanb,2020-11-04T02:54:48Z,0.715,98520
gilbertf,2020-11-04T02:55:46Z,0.028,99542
hansonw,2020-11-04T02:55:46Z,0.257,99542
westermanb,2020-11-04T02:55:46Z,0.715,99542
gilbertf,2020-11-04T02:58:07Z,0.028,100613
hansonw,2020-11-04T02:58:07Z,0.257,100613
westermanb,2020-11-04T02:58:07Z,0.716,100613
gilbertf,2020-11-04T03:07:06Z,0.028,102725
hansonw,2020-11-04T03:07:06Z,0.256,102725
westermanb,2020-11-04T03:07:06Z,0.717,102725
gilbertf,2020-11-04T03:09:54Z,0.028,115161
hansonw,2020-11-04T03:09:54Z,0.252,115161
westermanb,2020-11-04T03:09:54Z,0.72,115161
gilbertf,2020-11-04T03:14:46Z,0.028,123546
hansonw,2020-11-04T03:14:46Z,0.244,123546
westermanb,2020-11-04T03:14:46Z,0.728,123546
gilbertf,2020-11-04T03:16:50Z,0.028,130355
hansonw,2020-11-04T03:16:50Z,0.248,130355
westermanb,2020-11-04T03:16:50Z,0.724,130355
gilbertf,2020-11-04T03:18:30Z,0.027,143049
hansonw,2020-11-04T03:18:30Z,0.249,143049
westermanb,2020-11-04T03:18:30Z,0.723,143049
gilbertf,2020-11-04T03:21:20Z,0.028,146591
hansonw,2020-11-04T03:21:20Z,0.247,146591
westermanb,2020-11-04T03:21:20Z,0.726,146591
gilbertf,2020-11-04T03:22:31Z,0.027,148193
hansonw,2020-11-04T03:22:31Z,0.247,148193
westermanb,2020-11-04T03:22:31Z,0.725,148193
gilbertf,2020-11-04T03:23:31Z,0.028,151691
hansonw,2020-11-04T03:23:31Z,0.246,151691
westermanb,2020-11-04T03:23:31Z,0.726,151691
gilbertf,2020-11-04T03:30:29Z,0.028,152252
hansonw,2020-11-04T03:30:29Z,0.247,152252
westermanb,2020-11-04T03:30:29Z,0.726,152252
gilbertf,2020-11-04T03:30:35Z,0.028,155071
hansonw,2020-11-04T03:30:35Z,0.244,155071
westermanb,2020-11-04T03:30:35Z,0.728,155071
gilbertf,2020-11-04T03:33:21Z,0.028,163328
hansonw,2020-11-04T03:33:21Z,0.251,163328
westermanb,2020-11-04T03:33:21Z,0.721,163328
gilbertf,2020-11-04T03:36:02Z,0.028,172634
hansonw,2020-11-04T03:36:02Z,0.25,172634
westermanb,2020-11-04T03:36:02Z,0.722,172634
gilbertf,2020-11-04T03:36:36Z,0.028,173867
hansonw,2020-11-04T03:36:36Z,0.25,173867
westermanb,2020-11-04T03:36:36Z,0.722,173867
gilbertf,2020-11-04T03:42:34Z,0.028,175903
hansonw,2020-11-04T03:42:34Z,0.248,175903
westermanb,2020-11-04T03:42:34Z,0.724,175903
gilbertf,2020-11-04T03:45:40Z,0.028,178473
hansonw,2020-11-04T03:45:40Z,0.247,178473
westermanb,2020-11-04T03:45:40Z,0.725,178473
gilbertf,2020-11-04T03:50:37Z,0.028,185090
hansonw,2020-11-04T03:50:37Z,0.245,185090
westermanb,2020-11-04T03:50:37Z,0.727,185090
gilbertf,2020-11-04T03:54:57Z,0.028,192940
hansonw,2020-11-04T03:54:57Z,0.246,192940
westermanb,2020-11-04T03:54:57Z,0.726,192940
gilbertf,2020-11-04T03:56:36Z,0.029,201007
hansonw,2020-11-04T03:56:36Z,0.243,201007
westermanb,2020-11-04T03:56:36Z,0.729,201007
gilbertf,2020-11-04T04:00:02Z,0.029,205939
hansonw,2020-11-04T04:00:02Z,0.243,205939
westermanb,2020-11-04T04:00:02Z,0.729,205939
gilbertf,2020-11-04T04:11:37Z,0.029,212748
hansonw,2020-11-04T04:11:37Z,0.24,212748
westermanb,2020-11-04T04:11:37Z,0.731,212748
gilbertf,2020-11-04T04:16:22Z,0.029,221621
hansonw,2020-11-04T04:16:22Z,0.245,221621
westermanb,2020-11-04T04:16:22Z,0.726,221621
gilbertf,2020-11-04T04:18:12Z,0.029,222697
hansonw,2020-11-04T04:18:12Z,0.245,222697
westermanb,2020-11-04T04:18:12Z,0.727,222697
gilbertf,2020-11-04T04:18:39Z,0.028,231092
hansonw,2020-11-04T04:18:39Z,0.247,231092
westermanb,2020-11-04T04:18:39Z,0.724,231092
gilbertf,2020-11-04T04:22:48Z,0.028,233285
hansonw,2020-11-04T04:22:48Z,0.247,233285
westermanb,2020-11-04T04:22:48Z,0.725,233285
gilbertf,2020-11-04T04:26:29Z,0.028,238407
hansonw,2020-11-04T04:26:29Z,0.246,238407
westermanb,2020-11-04T04:26:29Z,0.726,238407
gilbertf,2020-11-04T04:34:13Z,0.028,262470
hansonw,2020-11-04T04:34:13Z,0.275,262470
westermanb,2020-11-04T04:34:13Z,0.697,262470
gilbertf,2020-11-04T04:35:48Z,0.028,265071
hansonw,2020-11-04T04:35:48Z,0.276,265071
westermanb,2020-11-04T04:35:48Z,0.696,265071
gilbertf,2020-11-04T05:01:45Z,0.028,268610
hansonw,2020-11-04T05:01:45Z,0.274,268610
westermanb,2020-11-04T05:01:45Z,0.698,268610
gilbertf,2020-11-04T05:07:22Z,0.028,272210
hansonw,2020-11-04T05:07:22Z,0.275,272210
westermanb,2020-11-04T05:07:22Z,0.697,272210
gilbertf,2020-11-04T05:41:54Z,0.028,272492
hansonw,2020-11-04T05:41:54Z,0.275,272492
westermanb,2020-11-04T05:41:54Z,0.697,272492
gilbertf,2020-11-04T06:37:41Z,0.028,272504
hansonw,2020-11-04T06:37:41Z,0.275,272504
westermanb,2020-11-04T06:37:41Z,0.697,272504
gilbertf,2020-11-04T09:15:39Z,0.028,269715
hansonw,2020-11-04T09:15:39Z,0.275,269715
westermanb,2020-11-04T09:15:39Z,0.697,269715
gilbertf,2020-11-04T17:16:41Z,0.028,269737
hansonw,2020-11-04T17:16:41Z,0.275,269737
westermanb,2020-11-04T17:16:41Z,0.697,269737
gilbertf,2020-11-04T20:10:45Z,0.028,269823
hansonw,2020-11-04T20:10:45Z,0.275,269823
westermanb,2020-11-04T20:10:45Z,0.697,269823
gilbertf,2020-11-04T22:26:42Z,0.028,271900
hansonw,2020-11-04T22:26:42Z,0.275,271900
westermanb,2020-11-04T22:26:42Z,0.698,271900
gilbertf,2020-11-05T16:02:42Z,0.028,272043
hansonw,2020-11-05T16:02:42Z,0.275,272043
westermanb,2020-11-05T16:02:42Z,0.698,272043
gilbertf,2020-11-05T16:29:42Z,0.028,272044
hansonw,2020-11-05T16:29:42Z,0.275,272044
westermanb,2020-11-05T16:29:42Z,0.698,272044
gilbertf,2020-11-05T21:24:36Z,0.028,272278
hansonw,2020-11-05T21:24:36Z,0.275,272278
westermanb,2020-11-05T21:24:36Z,0.697,272278
gilbertf,2020-11-05T21:48:28Z,0.028,276123
hansonw,2020-11-05T21:48:28Z,0.277,276123
westermanb,2020-11-05T21:48:28Z,0.695,276123
gilbertf,2020-11-05T21:51:31Z,0.028,281055
hansonw,2020-11-05T21:51:31Z,0.277,281055
westermanb,2020-11-05T21:51:31Z,0.696,281055
gilbertf,2020-11-06T19:22:26Z,0.028,277210
hansonw,2020-11-06T19:22:26Z,0.274,277210
westermanb,2020-11-06T19:22:26Z,0.698,277210
gilbertf,2020-11-06T19:29:56Z,0.028,272278
hansonw,2020-11-06T19:29:56Z,0.275,272278
westermanb,2020-11-06T19:29:56Z,0.697,272278
gilbertf,2020-11-06T19:56:36Z,0.028,272284
hansonw,2020-11-06T19:56:36Z,0.275,272284
westermanb,2020-11-06T19:56:36Z,0.697,272284
gilbertf,2020-11-07T14:58:28Z,0.028,276129
hansonw,2020-11-07T14:58:28Z,0.277,276129
westermanb,2020-11-07T14:58:28Z,0.695,276129
gilbertf,2020-11-07T14:59:35Z,0.028,281061
hansonw,2020-11-07T14:59:35Z,0.277,281061
westermanb,2020-11-07T14:59:35Z,0.696,281061
gilbertf,2020-11-09T15:03:41Z,0.028,282385
hansonw,2020-11-09T15:03:41Z,0.276,282385
westermanb,2020-11-09T15:03:41Z,0.696,282385
gilbertf,2020-11-09T17:12:36Z,0.028,282388
hansonw,2020-11-09T17:12:36Z,0.276,282388
westermanb,2020-11-09T17:12:36Z,0.696,282388
gilbertf,2020-11-10T04:15:49Z,0.028,282434
hansonw,2020-11-10T04:15:49Z,0.276,282434
westermanb,2020-11-10T04:15:49Z,0.696,282434
gilbertf,2020-11-10T18:32:46Z,0.028,282448
hansonw,2020-11-10T18:32:46Z,0.276,282448
westermanb,2020-11-10T18:32:46Z,0.696,282448
gilbertf,2020-11-10T21:50:44Z,0.028,282460
hansonw,2020-11-10T21:50:44Z,0.276,282460
westermanb,2020-11-10T21:50:44Z,0.696,282460
gilbertf,2020-11-11T22:20:22Z,0.028,278615
hansonw,2020-11-11T22:20:22Z,0.273,278615
westermanb,2020-11-11T22:20:22Z,0.699,278615
gilbertf,2020-11-13T15:00:49Z,0.028,278627
hansonw,2020-11-13T15:00:49Z,0.273,278627
westermanb,2020-11-13T15:00:49Z,0.699,278627
gilbertf,2020-11-13T15:28:43Z,0.028,278648
hansonw,2020-11-13T15:28:43Z,0.273,278648
westermanb,2020-11-13T15:28:43Z,0.699,278648
gilbertf,2020-11-13T16:37:45Z,0.028,278662
hansonw,2020-11-13T16:37:45Z,0.273,278662
westermanb,2020-11-13T16:37:45Z,0.699,278662
gilbertf,2020-11-13T17:23:46Z,0.028,278667
hansonw,2020-11-13T17:23:46Z,0.273,278667
westermanb,2020-11-13T17:23:46Z,0.699,278667
gilbertf,2020-11-13T18:12:49Z,0.028,278719
hansonw,2020-11-13T18:12:49Z,0.273,278719
westermanb,2020-11-13T18:12:49Z,0.699,278719
gilbertf,2020-11-13T18:27:46Z,0.028,278754
hansonw,2020-11-13T18:27:46Z,0.273,278754
westermanb,2020-11-13T18:27:46Z,0.699,278754
gilbertf,2020-11-13T20:03:46Z,0.028,278772
hansonw,2020-11-13T20:03:46Z,0.273,278772
westermanb,2020-11-13T20:03:46Z,0.699,278772
gilbertf,2020-11-13T20:42:45Z,0.028,278777
hansonw,2020-11-13T20:42:45Z,0.273,278777
westermanb,2020-11-13T20:42:45Z,0.699,278777
gilbertf,2020-11-15T18:04:58Z,0.028,278871
hansonw,2020-11-15T18:04:58Z,0.273,278871
westermanb,2020-11-15T18:04:58Z,0.699,278871
gilbertf,2020-11-16T15:24:46Z,0.028,278892
hansonw,2020-11-16T15:24:46Z,0.273,278892
westermanb,2020-11-16T15:24:46Z,0.699,278892
gilbertf,2020-11-16T15:39:46Z,0.028,278925
hansonw,2020-11-16T15:39:46Z,0.273,278925
westermanb,2020-11-16T15:39:46Z,0.699,278925
gilbertf,2020-11-16T15:41:44Z,0.028,278935
hansonw,2020-11-16T15:41:44Z,0.273,278935
westermanb,2020-11-16T15:41:44Z,0.699,278935
gilbertf,2020-11-16T18:02:26Z,0.028,277702
hansonw,2020-11-16T18:02:26Z,0.273,277702
westermanb,2020-11-16T18:02:26Z,0.699,277702
gilbertf,2020-11-16T19:00:46Z,0.028,277705
hansonw,2020-11-16T19:00:46Z,0.273,277705
westermanb,2020-11-16T19:00:46Z,0.699,277705
gilbertf,2020-11-16T22:52:43Z,0.028,277760
hansonw,2020-11-16T22:52:43Z,0.273,277760
westermanb,2020-11-16T22:52:43Z,0.699,277760
gilbertf,2020-11-17T15:10:01Z,0.028,277788
hansonw,2020-11-17T15:10:01Z,0.273,277788
westermanb,2020-11-17T15:10:01Z,0.699,277788
gilbertf,2020-11-17T15:17:44Z,0.028,277849
hansonw,2020-11-17T15:17:44Z,0.273,277849
westermanb,2020-11-17T15:17:44Z,0.699,277849
gilbertf,2020-11-17T16:41:45Z,0.028,277882
hansonw,2020-11-17T16:41:45Z,0.273,277882
westermanb,2020-11-17T16:41:45Z,0.699,277882
gilbertf,2020-11-17T19:40:41Z,0.028,277911
hansonw,2020-11-17T19:40:41Z,0.273,277911
westermanb,2020-11-17T19:40:41Z,0.699,277911
gilbertf,2020-11-18T15:40:43Z,0.028,277945
hansonw,2020-11-18T15:40:43Z,0.273,277945
westermanb,2020-11-18T15:40:43Z,0.699,277945
gilbertf,2020-11-18T16:30:51Z,0.028,277983
hansonw,2020-11-18T16:30:51Z,0.273,277983
westermanb,2020-11-18T16:30:51Z,0.699,277983
gilbertf,2020-11-19T23:12:53Z,0.028,273060
hansonw,2020-11-19T23:12:53Z,0.274,273060
westermanb,2020-11-19T23:12:53Z,0.698,273060
gilbertf,2020-11-19T17:39:16.463Z,0.028,274915
hansonw,2020-11-19T17:39:16.463Z,0.275,274915
westermanb,2020-11-19T17:39:16.463Z,0.697,274915
gilbertf,2020-11-20T13:36:26Z,0.028,273682
hansonw,2020-11-20T13:36:26Z,0.275,273682
westermanb,2020-11-20T13:36:26Z,0.697,273682
gilbertf,2020-11-23T19:30:48Z,0.028,273802
hansonw,2020-11-23T19:30:48Z,0.276,273802
westermanb,2020-11-23T19:30:48Z,0.697,273802
gilbertf,2020-11-24T20:30:40Z,0.028,275035
hansonw,2020-11-24T20:30:40Z,0.275,275035
westermanb,2020-11-24T20:30:40Z,0.697,275035
gilbertf,2020-11-30T18:46:04Z,0.028,275035
hansonw,2020-11-30T18:46:04Z,0.275,275035
westermanb,2020-11-30T18:46:04Z,0.697,275035
gilbertf,2020-11-27T18:53:57.643Z,0.028,275035
hansonw,2020-11-27T18:53:57.643Z,0.275,275035
westermanb,2020-11-27T18:53:57.643Z,0.697,275035
