CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:25:21Z,962,269,17,17,05021
blankenshipd,2020-11-30T18:25:21Z,19,4,17,17,05021
carrollb,2020-11-30T18:25:21Z,3,1,17,17,05021
collinsp,2020-11-30T18:25:21Z,13,3,17,17,05021
de_la_fuenter,2020-11-30T18:25:21Z,1,0,17,17,05021
gammonc,2020-11-30T18:25:21Z,4,1,17,17,05021
hawkinsh,2020-11-30T18:25:21Z,11,5,17,17,05021
jorgensenj,2020-11-30T18:25:21Z,53,23,17,17,05021
la_rivag,2020-11-30T18:25:21Z,3,1,17,17,05021
myersj,2020-11-30T18:25:21Z,8,4,17,17,05021
pierceb,2020-11-30T18:25:21Z,9,1,17,17,05021
trumpd,2020-11-30T18:25:21Z,4086,1087,17,17,05021
westk,2020-11-30T18:25:21Z,11,4,17,17,05021
