CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:25:53Z,11921,9435,53,53,05031
blankenshipd,2020-11-30T18:25:53Z,71,42,53,53,05031
carrollb,2020-11-30T18:25:53Z,64,46,53,53,05031
collinsp,2020-11-30T18:25:53Z,40,23,53,53,05031
de_la_fuenter,2020-11-30T18:25:53Z,17,11,53,53,05031
gammonc,2020-11-30T18:25:53Z,43,27,53,53,05031
hawkinsh,2020-11-30T18:25:53Z,121,63,53,53,05031
jorgensenj,2020-11-30T18:25:53Z,440,277,53,53,05031
la_rivag,2020-11-30T18:25:53Z,40,20,53,53,05031
myersj,2020-11-30T18:25:53Z,11,9,53,53,05031
pierceb,2020-11-30T18:25:53Z,28,19,53,53,05031
trumpd,2020-11-30T18:25:53Z,25558,18477,53,53,05031
westk,2020-11-30T18:25:53Z,157,83,53,53,05031
