CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:29:10Z,1226,1036,22,22,05081
blankenshipd,2020-11-30T18:29:10Z,83,57,22,22,05081
carrollb,2020-11-30T18:29:10Z,3,3,22,22,05081
collinsp,2020-11-30T18:29:10Z,11,11,22,22,05081
de_la_fuenter,2020-11-30T18:29:10Z,1,0,22,22,05081
gammonc,2020-11-30T18:29:10Z,13,10,22,22,05081
hawkinsh,2020-11-30T18:29:10Z,7,6,22,22,05081
jorgensenj,2020-11-30T18:29:10Z,44,34,22,22,05081
la_rivag,2020-11-30T18:29:10Z,19,15,22,22,05081
myersj,2020-11-30T18:29:10Z,29,24,22,22,05081
pierceb,2020-11-30T18:29:10Z,9,8,22,22,05081
trumpd,2020-11-30T18:29:10Z,3715,2914,22,22,05081
westk,2020-11-30T18:29:10Z,17,12,22,22,05081
