CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:30:10Z,644,530,11,11,05109
blankenshipd,2020-11-30T18:30:10Z,4,3,11,11,05109
carrollb,2020-11-30T18:30:10Z,4,3,11,11,05109
collinsp,2020-11-30T18:30:10Z,2,0,11,11,05109
de_la_fuenter,2020-11-30T18:30:10Z,3,1,11,11,05109
gammonc,2020-11-30T18:30:10Z,3,3,11,11,05109
hawkinsh,2020-11-30T18:30:10Z,4,3,11,11,05109
jorgensenj,2020-11-30T18:30:10Z,41,29,11,11,05109
la_rivag,2020-11-30T18:30:10Z,0,0,11,11,05109
myersj,2020-11-30T18:30:10Z,6,4,11,11,05109
pierceb,2020-11-30T18:30:10Z,4,2,11,11,05109
trumpd,2020-11-30T18:30:10Z,3519,2693,11,11,05109
westk,2020-11-30T18:30:10Z,12,8,11,11,05109
