CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:30:44Z,1215,1000,29,29,05121
blankenshipd,2020-11-30T18:30:44Z,12,8,29,29,05121
carrollb,2020-11-30T18:30:44Z,9,5,29,29,05121
collinsp,2020-11-30T18:30:44Z,85,54,29,29,05121
de_la_fuenter,2020-11-30T18:30:44Z,4,3,29,29,05121
gammonc,2020-11-30T18:30:44Z,8,5,29,29,05121
hawkinsh,2020-11-30T18:30:44Z,10,7,29,29,05121
jorgensenj,2020-11-30T18:30:44Z,55,40,29,29,05121
la_rivag,2020-11-30T18:30:44Z,9,9,29,29,05121
myersj,2020-11-30T18:30:44Z,6,4,29,29,05121
pierceb,2020-11-30T18:30:44Z,8,4,29,29,05121
trumpd,2020-11-30T18:30:44Z,5355,3932,29,29,05121
westk,2020-11-30T18:30:44Z,36,18,29,29,05121
