CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-30T18:30:50Z,3604,2754,15,15,05123
blankenshipd,2020-11-30T18:30:50Z,11,6,15,15,05123
carrollb,2020-11-30T18:30:50Z,4,3,15,15,05123
collinsp,2020-11-30T18:30:50Z,22,11,15,15,05123
de_la_fuenter,2020-11-30T18:30:50Z,8,7,15,15,05123
gammonc,2020-11-30T18:30:50Z,15,8,15,15,05123
hawkinsh,2020-11-30T18:30:50Z,21,14,15,15,05123
jorgensenj,2020-11-30T18:30:50Z,37,20,15,15,05123
la_rivag,2020-11-30T18:30:50Z,27,16,15,15,05123
myersj,2020-11-30T18:30:50Z,40,24,15,15,05123
pierceb,2020-11-30T18:30:50Z,57,31,15,15,05123
trumpd,2020-11-30T18:30:50Z,3242,2107,15,15,05123
westk,2020-11-30T18:30:50Z,20,14,15,15,05123
