CANDIDATE,Timestamp,VOTE_SHARES,VOTES
porterk,2020-11-04T10:02:04Z,0,0
rathsg,2020-11-04T10:02:04Z,0,0
porterk,2020-11-04T04:26:26Z,0.6,286617
rathsg,2020-11-04T04:26:26Z,0.4,286617
porterk,2020-11-04T05:00:50Z,0.6,287068
rathsg,2020-11-04T05:00:50Z,0.4,287068
porterk,2020-11-04T05:31:35Z,0.592,297029
rathsg,2020-11-04T05:31:35Z,0.408,297029
porterk,2020-11-04T06:00:43Z,0.575,316747
rathsg,2020-11-04T06:00:43Z,0.425,316747
porterk,2020-11-04T06:33:52Z,0.571,321145
rathsg,2020-11-04T06:33:52Z,0.429,321145
porterk,2020-11-04T07:00:44Z,0.55,345041
rathsg,2020-11-04T07:00:44Z,0.45,345041
porterk,2020-11-04T07:30:42Z,0.544,352050
rathsg,2020-11-04T07:30:42Z,0.456,352050
porterk,2020-11-04T08:32:43Z,0.543,353151
rathsg,2020-11-04T08:32:43Z,0.457,353151
porterk,2020-11-05T01:00:52Z,0.542,355372
rathsg,2020-11-05T01:00:52Z,0.458,355372
porterk,2020-11-06T01:23:00Z,0.539,373048
rathsg,2020-11-06T01:23:00Z,0.461,373048
porterk,2020-11-07T01:28:57Z,0.536,389463
rathsg,2020-11-07T01:28:57Z,0.464,389463
porterk,2020-11-10T01:54:18Z,0.535,405977
rathsg,2020-11-10T01:54:18Z,0.465,405977
porterk,2020-11-19T15:15:04.560Z,0.535,414600
rathsg,2020-11-19T15:15:04.560Z,0.465,414600
porterk,2020-11-20T14:23:24Z,0.535,405977
rathsg,2020-11-20T14:23:24Z,0.465,405977
porterk,2020-11-28T03:54:53Z,0.535,414939
rathsg,2020-11-28T03:54:53Z,0.465,414939
porterk,2020-12-12T16:26:03.987Z,0.535,414939
rathsg,2020-12-12T16:26:03.987Z,0.465,414939
