CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T10:01:44Z,0,0
trumpd,2020-11-04T10:01:44Z,0,0
bidenj,2020-11-04T04:11:07Z,0.583,5305
trumpd,2020-11-04T04:11:07Z,0.395,5305
bidenj,2020-11-04T04:13:01Z,0.82,231201
trumpd,2020-11-04T04:13:01Z,0.165,231201
bidenj,2020-11-04T04:13:33Z,0.765,331266
trumpd,2020-11-04T04:13:33Z,0.218,331266
bidenj,2020-11-04T04:16:17Z,0.696,642538
trumpd,2020-11-04T04:16:17Z,0.287,642538
bidenj,2020-11-04T04:17:37Z,0.638,1412427
trumpd,2020-11-04T04:17:37Z,0.344,1412427
bidenj,2020-11-04T04:18:49Z,0.638,1412430
trumpd,2020-11-04T04:18:49Z,0.344,1412430
bidenj,2020-11-04T04:22:42Z,0.658,1800603
trumpd,2020-11-04T04:22:42Z,0.324,1800603
bidenj,2020-11-04T04:23:21Z,0.658,1800605
trumpd,2020-11-04T04:23:21Z,0.324,1800605
bidenj,2020-11-04T04:23:50Z,0.683,2241957
trumpd,2020-11-04T04:23:50Z,0.299,2241957
bidenj,2020-11-04T04:25:00Z,0.714,5848667
trumpd,2020-11-04T04:25:00Z,0.269,5848667
bidenj,2020-11-04T04:26:07Z,0.719,6352519
trumpd,2020-11-04T04:26:07Z,0.264,6352519
bidenj,2020-11-04T04:26:26Z,0.702,7365710
trumpd,2020-11-04T04:26:26Z,0.28,7365710
bidenj,2020-11-04T04:27:33Z,0.702,7365786
trumpd,2020-11-04T04:27:33Z,0.28,7365786
bidenj,2020-11-04T04:29:26Z,0.702,7365836
trumpd,2020-11-04T04:29:26Z,0.28,7365836
bidenj,2020-11-04T04:31:22Z,0.699,7527288
trumpd,2020-11-04T04:31:22Z,0.283,7527288
bidenj,2020-11-04T04:31:54Z,0.699,7527311
trumpd,2020-11-04T04:31:54Z,0.283,7527311
bidenj,2020-11-04T04:33:41Z,0.702,7814144
trumpd,2020-11-04T04:33:41Z,0.281,7814144
bidenj,2020-11-04T04:33:56Z,0.702,7815090
trumpd,2020-11-04T04:33:56Z,0.281,7815090
bidenj,2020-11-04T04:37:06Z,0.7,7932880
trumpd,2020-11-04T04:37:06Z,0.282,7932880
bidenj,2020-11-04T04:39:33Z,0.694,8315467
trumpd,2020-11-04T04:39:33Z,0.288,8315467
bidenj,2020-11-04T04:40:48Z,0.692,8471564
trumpd,2020-11-04T04:40:48Z,0.29,8471564
bidenj,2020-11-04T04:42:43Z,0.692,8471566
trumpd,2020-11-04T04:42:43Z,0.29,8471566
bidenj,2020-11-04T04:44:44Z,0.692,8471656
trumpd,2020-11-04T04:44:44Z,0.29,8471656
bidenj,2020-11-04T04:45:07Z,0.693,8584235
trumpd,2020-11-04T04:45:07Z,0.289,8584235
bidenj,2020-11-04T04:47:41Z,0.693,8584247
trumpd,2020-11-04T04:47:41Z,0.289,8584247
bidenj,2020-11-04T04:50:59Z,0.689,9436247
trumpd,2020-11-04T04:50:59Z,0.293,9436247
bidenj,2020-11-04T04:51:08Z,0.685,9630411
trumpd,2020-11-04T04:51:08Z,0.297,9630411
bidenj,2020-11-04T04:54:01Z,0.684,9691456
trumpd,2020-11-04T04:54:01Z,0.298,9691456
bidenj,2020-11-04T04:56:05Z,0.684,9691585
trumpd,2020-11-04T04:56:05Z,0.298,9691585
bidenj,2020-11-04T04:57:52Z,0.686,9783862
trumpd,2020-11-04T04:57:52Z,0.297,9783862
bidenj,2020-11-04T05:00:50Z,0.686,9785519
trumpd,2020-11-04T05:00:50Z,0.297,9785519
bidenj,2020-11-04T05:03:07Z,0.685,9801015
trumpd,2020-11-04T05:03:07Z,0.297,9801015
bidenj,2020-11-04T05:09:19Z,0.685,9808310
trumpd,2020-11-04T05:09:19Z,0.297,9808310
bidenj,2020-11-04T05:18:47Z,0.685,9862796
trumpd,2020-11-04T05:18:47Z,0.297,9862796
bidenj,2020-11-04T05:21:28Z,0.685,9862819
trumpd,2020-11-04T05:21:28Z,0.297,9862819
bidenj,2020-11-04T05:25:28Z,0.685,9882281
trumpd,2020-11-04T05:25:28Z,0.298,9882281
bidenj,2020-11-04T05:25:50Z,0.685,9882317
trumpd,2020-11-04T05:25:50Z,0.298,9882317
bidenj,2020-11-04T05:28:48Z,0.684,9919692
trumpd,2020-11-04T05:28:48Z,0.298,9919692
bidenj,2020-11-04T05:30:22Z,0.684,9919803
trumpd,2020-11-04T05:30:22Z,0.298,9919803
bidenj,2020-11-04T05:30:54Z,0.684,9919837
trumpd,2020-11-04T05:30:54Z,0.298,9919837
bidenj,2020-11-04T05:31:37Z,0.683,9943479
trumpd,2020-11-04T05:31:37Z,0.299,9943479
bidenj,2020-11-04T05:32:16Z,0.681,10072480
trumpd,2020-11-04T05:32:16Z,0.301,10072480
bidenj,2020-11-04T05:32:58Z,0.681,10072505
trumpd,2020-11-04T05:32:58Z,0.301,10072505
bidenj,2020-11-04T05:36:14Z,0.681,10072506
trumpd,2020-11-04T05:36:14Z,0.301,10072506
bidenj,2020-11-04T05:38:12Z,0.68,10109691
trumpd,2020-11-04T05:38:12Z,0.301,10109691
bidenj,2020-11-04T05:44:54Z,0.68,10114608
trumpd,2020-11-04T05:44:54Z,0.301,10114608
bidenj,2020-11-04T05:45:05Z,0.68,10114631
trumpd,2020-11-04T05:45:05Z,0.301,10114631
bidenj,2020-11-04T05:46:48Z,0.68,10116488
trumpd,2020-11-04T05:46:48Z,0.301,10116488
bidenj,2020-11-04T05:48:29Z,0.68,10139811
trumpd,2020-11-04T05:48:29Z,0.301,10139811
bidenj,2020-11-04T05:51:56Z,0.68,10150780
trumpd,2020-11-04T05:51:56Z,0.301,10150780
bidenj,2020-11-04T05:53:03Z,0.68,10152788
trumpd,2020-11-04T05:53:03Z,0.301,10152788
bidenj,2020-11-04T05:58:57Z,0.68,10155734
trumpd,2020-11-04T05:58:57Z,0.301,10155734
bidenj,2020-11-04T06:06:40Z,0.677,10261928
trumpd,2020-11-04T06:06:40Z,0.304,10261928
bidenj,2020-11-04T06:07:13Z,0.677,10263129
