CANDIDATE,Timestamp,VOTE_SHARES,VOTES
boebertl,2020-11-04T10:02:04Z,0,0
keilj,2020-11-04T10:02:04Z,0,0
miltonc,2020-11-04T10:02:04Z,0,0
mitsch_bushd,2020-11-04T10:02:04Z,0,0
boebertl,2020-11-04T02:12:59Z,0.459,89569
keilj,2020-11-04T02:12:59Z,0.025,89569
miltonc,2020-11-04T02:12:59Z,0.011,89569
mitsch_bushd,2020-11-04T02:12:59Z,0.505,89569
boebertl,2020-11-04T02:18:14Z,0.495,111595
keilj,2020-11-04T02:18:14Z,0.023,111595
miltonc,2020-11-04T02:18:14Z,0.01,111595
mitsch_bushd,2020-11-04T02:18:14Z,0.472,111595
boebertl,2020-11-04T02:20:24Z,0.477,126793
keilj,2020-11-04T02:20:24Z,0.022,126793
miltonc,2020-11-04T02:20:24Z,0.009,126793
mitsch_bushd,2020-11-04T02:20:24Z,0.492,126793
boebertl,2020-11-04T02:20:35Z,0.473,164869
keilj,2020-11-04T02:20:35Z,0.022,164869
miltonc,2020-11-04T02:20:35Z,0.009,164869
mitsch_bushd,2020-11-04T02:20:35Z,0.495,164869
boebertl,2020-11-04T02:27:32Z,0.459,173742
keilj,2020-11-04T02:27:32Z,0.021,173742
miltonc,2020-11-04T02:27:32Z,0.009,173742
mitsch_bushd,2020-11-04T02:27:32Z,0.51,173742
boebertl,2020-11-04T02:31:07Z,0.506,256871
keilj,2020-11-04T02:31:07Z,0.023,256871
miltonc,2020-11-04T02:31:07Z,0.009,256871
mitsch_bushd,2020-11-04T02:31:07Z,0.462,256871
boebertl,2020-11-04T02:35:52Z,0.501,261630
keilj,2020-11-04T02:35:52Z,0.023,261630
miltonc,2020-11-04T02:35:52Z,0.009,261630
mitsch_bushd,2020-11-04T02:35:52Z,0.467,261630
boebertl,2020-11-04T02:38:20Z,0.502,303041
keilj,2020-11-04T02:38:20Z,0.022,303041
miltonc,2020-11-04T02:38:20Z,0.009,303041
mitsch_bushd,2020-11-04T02:38:20Z,0.467,303041
boebertl,2020-11-04T02:41:11Z,0.504,304398
keilj,2020-11-04T02:41:11Z,0.022,304398
miltonc,2020-11-04T02:41:11Z,0.009,304398
mitsch_bushd,2020-11-04T02:41:11Z,0.466,304398
boebertl,2020-11-04T02:42:36Z,0.506,315409
keilj,2020-11-04T02:42:36Z,0.021,315409
miltonc,2020-11-04T02:42:36Z,0.009,315409
mitsch_bushd,2020-11-04T02:42:36Z,0.464,315409
boebertl,2020-11-04T02:46:02Z,0.496,347606
keilj,2020-11-04T02:46:02Z,0.021,347606
miltonc,2020-11-04T02:46:02Z,0.009,347606
mitsch_bushd,2020-11-04T02:46:02Z,0.474,347606
boebertl,2020-11-04T02:52:23Z,0.494,351428
keilj,2020-11-04T02:52:23Z,0.022,351428
miltonc,2020-11-04T02:52:23Z,0.009,351428
mitsch_bushd,2020-11-04T02:52:23Z,0.475,351428
boebertl,2020-11-04T03:07:19Z,0.494,351971
keilj,2020-11-04T03:07:19Z,0.022,351971
miltonc,2020-11-04T03:07:19Z,0.009,351971
mitsch_bushd,2020-11-04T03:07:19Z,0.475,351971
boebertl,2020-11-04T03:09:32Z,0.494,356295
keilj,2020-11-04T03:09:32Z,0.022,356295
miltonc,2020-11-04T03:09:32Z,0.009,356295
mitsch_bushd,2020-11-04T03:09:32Z,0.475,356295
boebertl,2020-11-04T03:13:21Z,0.494,357037
keilj,2020-11-04T03:13:21Z,0.022,357037
miltonc,2020-11-04T03:13:21Z,0.009,357037
mitsch_bushd,2020-11-04T03:13:21Z,0.475,357037
boebertl,2020-11-04T03:27:18Z,0.495,357268
keilj,2020-11-04T03:27:18Z,0.022,357268
miltonc,2020-11-04T03:27:18Z,0.009,357268
mitsch_bushd,2020-11-04T03:27:18Z,0.475,357268
boebertl,2020-11-04T03:37:55Z,0.5,363957
keilj,2020-11-04T03:37:55Z,0.022,363957
miltonc,2020-11-04T03:37:55Z,0.009,363957
mitsch_bushd,2020-11-04T03:37:55Z,0.469,363957
boebertl,2020-11-04T03:44:43Z,0.504,373741
keilj,2020-11-04T03:44:43Z,0.022,373741
miltonc,2020-11-04T03:44:43Z,0.009,373741
mitsch_bushd,2020-11-04T03:44:43Z,0.465,373741
boebertl,2020-11-04T03:55:36Z,0.504,373975
keilj,2020-11-04T03:55:36Z,0.022,373975
miltonc,2020-11-04T03:55:36Z,0.009,373975
mitsch_bushd,2020-11-04T03:55:36Z,0.465,373975
boebertl,2020-11-04T03:56:20Z,0.504,374153
keilj,2020-11-04T03:56:20Z,0.022,374153
miltonc,2020-11-04T03:56:20Z,0.009,374153
mitsch_bushd,2020-11-04T03:56:20Z,0.465,374153
boebertl,2020-11-04T04:05:36Z,0.504,378207
keilj,2020-11-04T04:05:36Z,0.022,378207
miltonc,2020-11-04T04:05:36Z,0.009,378207
mitsch_bushd,2020-11-04T04:05:36Z,0.465,378207
boebertl,2020-11-04T04:06:24Z,0.505,379133
keilj,2020-11-04T04:06:24Z,0.022,379133
miltonc,2020-11-04T04:06:24Z,0.009,379133
mitsch_bushd,2020-11-04T04:06:24Z,0.464,379133
boebertl,2020-11-04T04:12:15Z,0.505,386510
keilj,2020-11-04T04:12:15Z,0.022,386510
miltonc,2020-11-04T04:12:15Z,0.009,386510
mitsch_bushd,2020-11-04T04:12:15Z,0.464,386510
boebertl,2020-11-04T04:20:22Z,0.505,387074
keilj,2020-11-04T04:20:22Z,0.022,387074
miltonc,2020-11-04T04:20:22Z,0.009,387074
mitsch_bushd,2020-11-04T04:20:22Z,0.463,387074
boebertl,2020-11-04T04:26:16Z,0.507,390664
keilj,2020-11-04T04:26:16Z,0.022,390664
miltonc,2020-11-04T04:26:16Z,0.009,390664
mitsch_bushd,2020-11-04T04:26:16Z,0.462,390664
boebertl,2020-11-04T04:32:45Z,0.507,390778
keilj,2020-11-04T04:32:45Z,0.022,390778
miltonc,2020-11-04T04:32:45Z,0.009,390778
mitsch_bushd,2020-11-04T04:32:45Z,0.462,390778
boebertl,2020-11-04T04:38:42Z,0.507,390877
keilj,2020-11-04T04:38:42Z,0.022,390877
miltonc,2020-11-04T04:38:42Z,0.009,390877
mitsch_bushd,2020-11-04T04:38:42Z,0.462,390877
boebertl,2020-11-04T04:49:06Z,0.507,394976
keilj,2020-11-04T04:49:06Z,0.022,394976
miltonc,2020-11-04T04:49:06Z,0.009,394976
