CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-06T15:44:54Z,317,0,9,9,08009
blankenshipd,2020-12-06T15:44:54Z,2,0,9,9,08009
carrollb,2020-12-06T15:44:54Z,3,0,9,9,08009
charlesm,2020-12-06T15:44:54Z,0,0,9,9,08009
collinsp,2020-12-06T15:44:54Z,1,0,9,9,08009
de_la_fuenter,2020-12-06T15:44:54Z,0,0,9,9,08009
hammonsb,2020-12-06T15:44:54Z,0,0,9,9,08009
hawkinsh,2020-12-06T15:44:54Z,3,0,9,9,08009
huberb,2020-12-06T15:44:54Z,2,0,9,9,08009
hunterd,2020-12-06T15:44:54Z,0,0,9,9,08009
jacob_fambrop,2020-12-06T15:44:54Z,0,0,9,9,08009
jorgensenj,2020-12-06T15:44:54Z,26,0,9,9,08009
kennedya,2020-12-06T15:44:54Z,0,0,9,9,08009
kishorej,2020-12-06T15:44:54Z,0,0,9,9,08009
kopitkek,2020-12-06T15:44:54Z,0,0,9,9,08009
la_rivag,2020-12-06T15:44:54Z,0,0,9,9,08009
mchughj,2020-12-06T15:44:54Z,0,0,9,9,08009
pierceb,2020-12-06T15:44:54Z,0,0,9,9,08009
scottj,2020-12-06T15:44:54Z,0,0,9,9,08009
trumpd,2020-12-06T15:44:54Z,1867,0,9,9,08009
westk,2020-12-06T15:44:54Z,4,0,9,9,08009
write-ins,2020-12-06T15:44:54Z,0,0,9,9,08009
