CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-12T19:31:46Z,5887,0,20,20,08029
blankenshipd,2021-01-12T19:31:46Z,34,0,20,20,08029
carrollb,2021-01-12T19:31:46Z,6,0,20,20,08029
charlesm,2021-01-12T19:31:46Z,12,0,20,20,08029
collinsp,2021-01-12T19:31:46Z,5,0,20,20,08029
de_la_fuenter,2021-01-12T19:31:46Z,3,0,20,20,08029
hammonsb,2021-01-12T19:31:46Z,11,0,20,20,08029
hawkinsh,2021-01-12T19:31:46Z,45,0,20,20,08029
huberb,2021-01-12T19:31:46Z,9,0,20,20,08029
hunterd,2021-01-12T19:31:46Z,4,0,20,20,08029
jacob_fambrop,2021-01-12T19:31:46Z,2,0,20,20,08029
jorgensenj,2021-01-12T19:31:46Z,218,0,20,20,08029
kennedya,2021-01-12T19:31:46Z,1,0,20,20,08029
kishorej,2021-01-12T19:31:46Z,1,0,20,20,08029
kopitkek,2021-01-12T19:31:46Z,7,0,20,20,08029
la_rivag,2021-01-12T19:31:46Z,2,0,20,20,08029
mchughj,2021-01-12T19:31:46Z,4,0,20,20,08029
pierceb,2021-01-12T19:31:46Z,5,0,20,20,08029
scottj,2021-01-12T19:31:46Z,1,0,20,20,08029
trumpd,2021-01-12T19:31:46Z,13081,0,20,20,08029
westk,2021-01-12T19:31:46Z,32,0,20,20,08029
write-ins,2021-01-12T19:31:46Z,0,0,20,20,08029
