CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-06T15:45:50Z,175,0,5,5,08057
blankenshipd,2020-12-06T15:45:50Z,2,0,5,5,08057
carrollb,2020-12-06T15:45:50Z,0,0,5,5,08057
charlesm,2020-12-06T15:45:50Z,1,0,5,5,08057
collinsp,2020-12-06T15:45:50Z,0,0,5,5,08057
de_la_fuenter,2020-12-06T15:45:50Z,0,0,5,5,08057
hammonsb,2020-12-06T15:45:50Z,1,0,5,5,08057
hawkinsh,2020-12-06T15:45:50Z,2,0,5,5,08057
huberb,2020-12-06T15:45:50Z,0,0,5,5,08057
hunterd,2020-12-06T15:45:50Z,0,0,5,5,08057
jacob_fambrop,2020-12-06T15:45:50Z,0,0,5,5,08057
jorgensenj,2020-12-06T15:45:50Z,12,0,5,5,08057
kennedya,2020-12-06T15:45:50Z,0,0,5,5,08057
kishorej,2020-12-06T15:45:50Z,0,0,5,5,08057
kopitkek,2020-12-06T15:45:50Z,0,0,5,5,08057
la_rivag,2020-12-06T15:45:50Z,0,0,5,5,08057
mchughj,2020-12-06T15:45:50Z,0,0,5,5,08057
pierceb,2020-12-06T15:45:50Z,0,0,5,5,08057
scottj,2020-12-06T15:45:50Z,0,0,5,5,08057
trumpd,2020-12-06T15:45:50Z,681,0,5,5,08057
westk,2020-12-06T15:45:50Z,2,0,5,5,08057
write-ins,2020-12-06T15:45:50Z,0,0,5,5,08057
