CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-12T19:32:35Z,218396,0,309,309,08059
blankenshipd,2021-01-12T19:32:35Z,631,0,309,309,08059
carrollb,2021-01-12T19:32:35Z,309,0,309,309,08059
charlesm,2021-01-12T19:32:35Z,231,0,309,309,08059
collinsp,2021-01-12T19:32:35Z,64,0,309,309,08059
de_la_fuenter,2021-01-12T19:32:35Z,63,0,309,309,08059
hammonsb,2021-01-12T19:32:35Z,318,0,309,309,08059
hawkinsh,2021-01-12T19:32:35Z,1089,0,309,309,08059
huberb,2021-01-12T19:32:35Z,39,0,309,309,08059
hunterd,2021-01-12T19:32:35Z,35,0,309,309,08059
jacob_fambrop,2021-01-12T19:32:35Z,51,0,309,309,08059
jorgensenj,2021-01-12T19:32:35Z,6394,0,309,309,08059
kennedya,2021-01-12T19:32:35Z,40,0,309,309,08059
kishorej,2021-01-12T19:32:35Z,21,0,309,309,08059
kopitkek,2021-01-12T19:32:35Z,101,0,309,309,08059
la_rivag,2021-01-12T19:32:35Z,84,0,309,309,08059
mchughj,2021-01-12T19:32:35Z,76,0,309,309,08059
pierceb,2021-01-12T19:32:35Z,82,0,309,309,08059
scottj,2021-01-12T19:32:35Z,16,0,309,309,08059
trumpd,2021-01-12T19:32:35Z,148417,0,309,309,08059
westk,2021-01-12T19:32:35Z,900,0,309,309,08059
write-ins,2021-01-12T19:32:35Z,1,0,309,309,08059
