CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-06T15:50:48Z,98,0,4,4,08061
blankenshipd,2020-12-06T15:50:48Z,0,0,4,4,08061
carrollb,2020-12-06T15:50:48Z,0,0,4,4,08061
charlesm,2020-12-06T15:50:48Z,0,0,4,4,08061
collinsp,2020-12-06T15:50:48Z,0,0,4,4,08061
de_la_fuenter,2020-12-06T15:50:48Z,0,0,4,4,08061
hammonsb,2020-12-06T15:50:48Z,0,0,4,4,08061
hawkinsh,2020-12-06T15:50:48Z,0,0,4,4,08061
huberb,2020-12-06T15:50:48Z,0,0,4,4,08061
hunterd,2020-12-06T15:50:48Z,0,0,4,4,08061
jacob_fambrop,2020-12-06T15:50:48Z,0,0,4,4,08061
jorgensenj,2020-12-06T15:50:48Z,9,0,4,4,08061
kennedya,2020-12-06T15:50:48Z,0,0,4,4,08061
kishorej,2020-12-06T15:50:48Z,0,0,4,4,08061
kopitkek,2020-12-06T15:50:48Z,0,0,4,4,08061
la_rivag,2020-12-06T15:50:48Z,0,0,4,4,08061
mchughj,2020-12-06T15:50:48Z,0,0,4,4,08061
pierceb,2020-12-06T15:50:48Z,0,0,4,4,08061
scottj,2020-12-06T15:50:48Z,0,0,4,4,08061
trumpd,2020-12-06T15:50:48Z,795,0,4,4,08061
westk,2020-12-06T15:50:48Z,1,0,4,4,08061
write-ins,2020-12-06T15:50:48Z,0,0,4,4,08061
