CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-12T19:33:07Z,31536,0,57,57,08077
blankenshipd,2021-01-12T19:33:07Z,200,0,57,57,08077
carrollb,2021-01-12T19:33:07Z,38,0,57,57,08077
charlesm,2021-01-12T19:33:07Z,58,0,57,57,08077
collinsp,2021-01-12T19:33:07Z,18,0,57,57,08077
de_la_fuenter,2021-01-12T19:33:07Z,10,0,57,57,08077
hammonsb,2021-01-12T19:33:07Z,65,0,57,57,08077
hawkinsh,2021-01-12T19:33:07Z,188,0,57,57,08077
huberb,2021-01-12T19:33:07Z,12,0,57,57,08077
hunterd,2021-01-12T19:33:07Z,7,0,57,57,08077
jacob_fambrop,2021-01-12T19:33:07Z,17,0,57,57,08077
jorgensenj,2021-01-12T19:33:07Z,1306,0,57,57,08077
kennedya,2021-01-12T19:33:07Z,7,0,57,57,08077
kishorej,2021-01-12T19:33:07Z,1,0,57,57,08077
kopitkek,2021-01-12T19:33:07Z,15,0,57,57,08077
la_rivag,2021-01-12T19:33:07Z,15,0,57,57,08077
mchughj,2021-01-12T19:33:07Z,16,0,57,57,08077
pierceb,2021-01-12T19:33:07Z,15,0,57,57,08077
scottj,2021-01-12T19:33:07Z,7,0,57,57,08077
trumpd,2021-01-12T19:33:07Z,56894,0,57,57,08077
westk,2021-01-12T19:33:07Z,197,0,57,57,08077
write-ins,2021-01-12T19:33:07Z,1,0,57,57,08077
