CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-06T15:47:00Z,3876,0,18,18,08087
blankenshipd,2020-12-06T15:47:00Z,14,0,18,18,08087
carrollb,2020-12-06T15:47:00Z,5,0,18,18,08087
charlesm,2020-12-06T15:47:00Z,11,0,18,18,08087
collinsp,2020-12-06T15:47:00Z,5,0,18,18,08087
de_la_fuenter,2020-12-06T15:47:00Z,9,0,18,18,08087
hammonsb,2020-12-06T15:47:00Z,11,0,18,18,08087
hawkinsh,2020-12-06T15:47:00Z,26,0,18,18,08087
huberb,2020-12-06T15:47:00Z,0,0,18,18,08087
hunterd,2020-12-06T15:47:00Z,1,0,18,18,08087
jacob_fambrop,2020-12-06T15:47:00Z,0,0,18,18,08087
jorgensenj,2020-12-06T15:47:00Z,151,0,18,18,08087
kennedya,2020-12-06T15:47:00Z,0,0,18,18,08087
kishorej,2020-12-06T15:47:00Z,0,0,18,18,08087
kopitkek,2020-12-06T15:47:00Z,2,0,18,18,08087
la_rivag,2020-12-06T15:47:00Z,2,0,18,18,08087
mchughj,2020-12-06T15:47:00Z,6,0,18,18,08087
pierceb,2020-12-06T15:47:00Z,2,0,18,18,08087
scottj,2020-12-06T15:47:00Z,3,0,18,18,08087
trumpd,2020-12-06T15:47:00Z,9593,0,18,18,08087
westk,2020-12-06T15:47:00Z,27,0,18,18,08087
write-ins,2020-12-06T15:47:00Z,0,0,18,18,08087
