CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-12T19:37:26Z,8989,0,10,10,08097
blankenshipd,2021-01-12T19:37:26Z,9,0,10,10,08097
carrollb,2021-01-12T19:37:26Z,2,0,10,10,08097
charlesm,2021-01-12T19:37:26Z,3,0,10,10,08097
collinsp,2021-01-12T19:37:26Z,0,0,10,10,08097
de_la_fuenter,2021-01-12T19:37:26Z,1,0,10,10,08097
hammonsb,2021-01-12T19:37:26Z,10,0,10,10,08097
hawkinsh,2021-01-12T19:37:26Z,41,0,10,10,08097
huberb,2021-01-12T19:37:26Z,0,0,10,10,08097
hunterd,2021-01-12T19:37:26Z,0,0,10,10,08097
jacob_fambrop,2021-01-12T19:37:26Z,1,0,10,10,08097
jorgensenj,2021-01-12T19:37:26Z,94,0,10,10,08097
kennedya,2021-01-12T19:37:26Z,1,0,10,10,08097
kishorej,2021-01-12T19:37:26Z,0,0,10,10,08097
kopitkek,2021-01-12T19:37:26Z,3,0,10,10,08097
la_rivag,2021-01-12T19:37:26Z,0,0,10,10,08097
mchughj,2021-01-12T19:37:26Z,0,0,10,10,08097
pierceb,2021-01-12T19:37:26Z,0,0,10,10,08097
scottj,2021-01-12T19:37:26Z,0,0,10,10,08097
trumpd,2021-01-12T19:37:26Z,2780,0,10,10,08097
westk,2021-01-12T19:37:26Z,23,0,10,10,08097
write-ins,2021-01-12T19:37:26Z,0,0,10,10,08097
