CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:22:17Z,10582,0,18,18,08107
blankenshipd,2020-11-24T13:22:17Z,20,0,18,18,08107
carrollb,2020-11-24T13:22:17Z,6,0,18,18,08107
charlesm,2020-11-24T13:22:17Z,13,0,18,18,08107
collinsp,2020-11-24T13:22:17Z,0,0,18,18,08107
de_la_fuenter,2020-11-24T13:22:17Z,0,0,18,18,08107
hammonsb,2020-11-24T13:22:17Z,15,0,18,18,08107
hawkinsh,2020-11-24T13:22:17Z,37,0,18,18,08107
huberb,2020-11-24T13:22:17Z,0,0,18,18,08107
hunterd,2020-11-24T13:22:17Z,0,0,18,18,08107
jacob_fambrop,2020-11-24T13:22:17Z,2,0,18,18,08107
jorgensenj,2020-11-24T13:22:17Z,236,0,18,18,08107
kennedya,2020-11-24T13:22:17Z,1,0,18,18,08107
kishorej,2020-11-24T13:22:17Z,0,0,18,18,08107
kopitkek,2020-11-24T13:22:17Z,1,0,18,18,08107
la_rivag,2020-11-24T13:22:17Z,2,0,18,18,08107
mchughj,2020-11-24T13:22:17Z,0,0,18,18,08107
pierceb,2020-11-24T13:22:17Z,4,0,18,18,08107
scottj,2020-11-24T13:22:17Z,1,0,18,18,08107
trumpd,2020-11-24T13:22:17Z,5925,0,18,18,08107
westk,2020-11-24T13:22:17Z,31,0,18,18,08107
