CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:22:23Z,3924,0,6,6,08113
blankenshipd,2020-11-24T13:22:23Z,2,0,6,6,08113
carrollb,2020-11-24T13:22:23Z,0,0,6,6,08113
charlesm,2020-11-24T13:22:23Z,2,0,6,6,08113
collinsp,2020-11-24T13:22:23Z,1,0,6,6,08113
de_la_fuenter,2020-11-24T13:22:23Z,0,0,6,6,08113
hammonsb,2020-11-24T13:22:23Z,2,0,6,6,08113
hawkinsh,2020-11-24T13:22:23Z,14,0,6,6,08113
huberb,2020-11-24T13:22:23Z,0,0,6,6,08113
hunterd,2020-11-24T13:22:23Z,0,0,6,6,08113
jacob_fambrop,2020-11-24T13:22:23Z,0,0,6,6,08113
jorgensenj,2020-11-24T13:22:23Z,52,0,6,6,08113
kennedya,2020-11-24T13:22:23Z,0,0,6,6,08113
kishorej,2020-11-24T13:22:23Z,0,0,6,6,08113
kopitkek,2020-11-24T13:22:23Z,0,0,6,6,08113
la_rivag,2020-11-24T13:22:23Z,1,0,6,6,08113
mchughj,2020-11-24T13:22:23Z,1,0,6,6,08113
pierceb,2020-11-24T13:22:23Z,1,0,6,6,08113
scottj,2020-11-24T13:22:23Z,0,0,6,6,08113
trumpd,2020-11-24T13:22:23Z,1136,0,6,6,08113
westk,2020-11-24T13:22:23Z,11,0,6,6,08113
