CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-12-06T15:47:40Z,301,0,5,5,08115
blankenshipd,2020-12-06T15:47:40Z,7,0,5,5,08115
carrollb,2020-12-06T15:47:40Z,0,0,5,5,08115
charlesm,2020-12-06T15:47:40Z,2,0,5,5,08115
collinsp,2020-12-06T15:47:40Z,0,0,5,5,08115
de_la_fuenter,2020-12-06T15:47:40Z,0,0,5,5,08115
hammonsb,2020-12-06T15:47:40Z,1,0,5,5,08115
hawkinsh,2020-12-06T15:47:40Z,1,0,5,5,08115
huberb,2020-12-06T15:47:40Z,0,0,5,5,08115
hunterd,2020-12-06T15:47:40Z,1,0,5,5,08115
jacob_fambrop,2020-12-06T15:47:40Z,0,0,5,5,08115
jorgensenj,2020-12-06T15:47:40Z,8,0,5,5,08115
kennedya,2020-12-06T15:47:40Z,1,0,5,5,08115
kishorej,2020-12-06T15:47:40Z,0,0,5,5,08115
kopitkek,2020-12-06T15:47:40Z,0,0,5,5,08115
la_rivag,2020-12-06T15:47:40Z,0,0,5,5,08115
mchughj,2020-12-06T15:47:40Z,0,0,5,5,08115
pierceb,2020-12-06T15:47:40Z,1,0,5,5,08115
scottj,2020-12-06T15:47:40Z,0,0,5,5,08115
trumpd,2020-12-06T15:47:40Z,1121,0,5,5,08115
westk,2020-12-06T15:47:40Z,2,0,5,5,08115
write-ins,2020-12-06T15:47:40Z,0,0,5,5,08115
