CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2021-01-12T19:30:41Z,5278,0,13,13,08119
blankenshipd,2021-01-12T19:30:41Z,28,0,13,13,08119
carrollb,2021-01-12T19:30:41Z,18,0,13,13,08119
charlesm,2021-01-12T19:30:41Z,10,0,13,13,08119
collinsp,2021-01-12T19:30:41Z,0,0,13,13,08119
de_la_fuenter,2021-01-12T19:30:41Z,1,0,13,13,08119
hammonsb,2021-01-12T19:30:41Z,10,0,13,13,08119
hawkinsh,2021-01-12T19:30:41Z,25,0,13,13,08119
huberb,2021-01-12T19:30:41Z,1,0,13,13,08119
hunterd,2021-01-12T19:30:41Z,1,0,13,13,08119
jacob_fambrop,2021-01-12T19:30:41Z,0,0,13,13,08119
jorgensenj,2021-01-12T19:30:41Z,267,0,13,13,08119
kennedya,2021-01-12T19:30:41Z,2,0,13,13,08119
kishorej,2021-01-12T19:30:41Z,2,0,13,13,08119
kopitkek,2021-01-12T19:30:41Z,6,0,13,13,08119
la_rivag,2021-01-12T19:30:41Z,2,0,13,13,08119
mchughj,2021-01-12T19:30:41Z,7,0,13,13,08119
pierceb,2021-01-12T19:30:41Z,2,0,13,13,08119
scottj,2021-01-12T19:30:41Z,1,0,13,13,08119
trumpd,2021-01-12T19:30:41Z,11241,0,13,13,08119
westk,2021-01-12T19:30:41Z,37,0,13,13,08119
