CANDIDATE,Timestamp,VOTE_SHARES,VOTES
delauror,2020-11-04T10:01:04Z,0,0
paglinoj,2020-11-04T10:01:04Z,0,0
streickerm,2020-11-04T10:01:04Z,0,0
delauror,2020-11-04T01:19:53Z,0.831,918
paglinoj,2020-11-04T01:19:53Z,0.029,918
streickerm,2020-11-04T01:19:53Z,0.139,918
delauror,2020-11-04T01:20:21Z,0.727,2336
paglinoj,2020-11-04T01:20:21Z,0.021,2336
streickerm,2020-11-04T01:20:21Z,0.252,2336
delauror,2020-11-04T01:33:02Z,0.597,7365
paglinoj,2020-11-04T01:33:02Z,0.007,7365
streickerm,2020-11-04T01:33:02Z,0.396,7365
delauror,2020-11-04T01:40:34Z,0.594,7643
paglinoj,2020-11-04T01:40:34Z,0.007,7643
streickerm,2020-11-04T01:40:34Z,0.399,7643
delauror,2020-11-04T02:11:32Z,0.622,11985
paglinoj,2020-11-04T02:11:32Z,0.009,11985
streickerm,2020-11-04T02:11:32Z,0.368,11985
delauror,2020-11-04T02:35:11Z,0.594,14401
paglinoj,2020-11-04T02:35:11Z,0.021,14401
streickerm,2020-11-04T02:35:11Z,0.384,14401
delauror,2020-11-04T02:42:27Z,0.573,18083
paglinoj,2020-11-04T02:42:27Z,0.02,18083
streickerm,2020-11-04T02:42:27Z,0.408,18083
delauror,2020-11-04T02:46:36Z,0.613,23261
paglinoj,2020-11-04T02:46:36Z,0.021,23261
streickerm,2020-11-04T02:46:36Z,0.366,23261
delauror,2020-11-04T02:55:07Z,0.563,37056
paglinoj,2020-11-04T02:55:07Z,0.017,37056
streickerm,2020-11-04T02:55:07Z,0.42,37056
delauror,2020-11-04T03:01:16Z,0.571,42625
paglinoj,2020-11-04T03:01:16Z,0.017,42625
streickerm,2020-11-04T03:01:16Z,0.412,42625
delauror,2020-11-04T03:06:13Z,0.539,70875
paglinoj,2020-11-04T03:06:13Z,0.016,70875
streickerm,2020-11-04T03:06:13Z,0.446,70875
delauror,2020-11-04T03:19:13Z,0.557,96641
paglinoj,2020-11-04T03:19:13Z,0.014,96641
streickerm,2020-11-04T03:19:13Z,0.429,96641
delauror,2020-11-04T03:37:10Z,0.552,112694
paglinoj,2020-11-04T03:37:10Z,0.014,112694
streickerm,2020-11-04T03:37:10Z,0.434,112694
delauror,2020-11-04T03:40:42Z,0.538,138866
paglinoj,2020-11-04T03:40:42Z,0.014,138866
streickerm,2020-11-04T03:40:42Z,0.448,138866
delauror,2020-11-04T03:49:32Z,0.538,139968
paglinoj,2020-11-04T03:49:32Z,0.014,139968
