CANDIDATE,Timestamp,VOTE_SHARES,VOTES
carneyj,2020-11-04T06:07:19Z,0,0
dematteisk,2020-11-04T06:07:19Z,0,0
machurekj,2020-11-04T06:07:19Z,0,0
murrayj,2020-11-04T06:07:19Z,0,0
carneyj,2020-11-04T01:54:26Z,0.721,26495
dematteisk,2020-11-04T01:54:26Z,0.016,26495
machurekj,2020-11-04T01:54:26Z,0.007,26495
murrayj,2020-11-04T01:54:26Z,0.257,26495
carneyj,2020-11-04T02:01:11Z,0.689,30369
dematteisk,2020-11-04T02:01:11Z,0.015,30369
machurekj,2020-11-04T02:01:11Z,0.007,30369
murrayj,2020-11-04T02:01:11Z,0.289,30369
carneyj,2020-11-04T02:07:14Z,0.67,34174
dematteisk,2020-11-04T02:07:14Z,0.015,34174
machurekj,2020-11-04T02:07:14Z,0.007,34174
murrayj,2020-11-04T02:07:14Z,0.308,34174
carneyj,2020-11-04T02:14:15Z,0.657,39326
dematteisk,2020-11-04T02:14:15Z,0.015,39326
machurekj,2020-11-04T02:14:15Z,0.007,39326
murrayj,2020-11-04T02:14:15Z,0.321,39326
carneyj,2020-11-04T03:53:30Z,0.507,159285
dematteisk,2020-11-04T03:53:30Z,0.011,159285
machurekj,2020-11-04T03:53:30Z,0.005,159285
murrayj,2020-11-04T03:53:30Z,0.476,159285
carneyj,2020-11-04T04:01:30Z,0.62,436014
dematteisk,2020-11-04T04:01:30Z,0.013,436014
machurekj,2020-11-04T04:01:30Z,0.007,436014
murrayj,2020-11-04T04:01:30Z,0.361,436014
carneyj,2020-11-04T05:10:06Z,0.599,482086
dematteisk,2020-11-04T05:10:06Z,0.012,482086
machurekj,2020-11-04T05:10:06Z,0.007,482086
murrayj,2020-11-04T05:10:06Z,0.382,482086
carneyj,2020-11-04T05:10:41Z,0.594,489285
dematteisk,2020-11-04T05:10:41Z,0.012,489285
machurekj,2020-11-04T05:10:41Z,0.007,489285
murrayj,2020-11-04T05:10:41Z,0.387,489285
carneyj,2020-11-04T05:43:29Z,0.595,491247
dematteisk,2020-11-04T05:43:29Z,0.012,491247
machurekj,2020-11-04T05:43:29Z,0.007,491247
murrayj,2020-11-04T05:43:29Z,0.386,491247
carneyj,2020-11-04T19:18:07Z,0.595,491248
dematteisk,2020-11-04T19:18:07Z,0.012,491248
machurekj,2020-11-04T19:18:07Z,0.007,491248
murrayj,2020-11-04T19:18:07Z,0.386,491248
carneyj,2020-11-05T06:51:07Z,0.595,491258
dematteisk,2020-11-05T06:51:07Z,0.012,491258
machurekj,2020-11-05T06:51:07Z,0.007,491258
murrayj,2020-11-05T06:51:07Z,0.386,491258
carneyj,2020-11-09T18:33:27Z,0.595,491269
dematteisk,2020-11-09T18:33:27Z,0.012,491269
machurekj,2020-11-09T18:33:27Z,0.007,491269
murrayj,2020-11-09T18:33:27Z,0.386,491269
carneyj,2020-11-10T22:30:51Z,0.595,492635
dematteisk,2020-11-10T22:30:51Z,0.012,492635
machurekj,2020-11-10T22:30:51Z,0.007,492635
murrayj,2020-11-10T22:30:51Z,0.386,492635
carneyj,2020-11-17T17:10:55.047Z,0.595,492635
dematteisk,2020-11-17T17:10:55.047Z,0.012,492635
machurekj,2020-11-17T17:10:55.047Z,0.007,492635
murrayj,2020-11-17T17:10:55.047Z,0.386,492635
