CANDIDATE,Timestamp,VOTE_SHARES,VOTES
coonsc,2020-11-04T06:07:19Z,0,0
witzkel,2020-11-04T06:07:19Z,0,0
coonsc,2020-11-04T03:35:23Z,0.516,84047
witzkel,2020-11-04T03:35:23Z,0.455,84047
coonsc,2020-11-04T03:35:51Z,0.48,202921
witzkel,2020-11-04T03:35:51Z,0.494,202921
coonsc,2020-11-04T04:00:47Z,0.599,479012
witzkel,2020-11-04T04:00:47Z,0.374,479012
coonsc,2020-11-04T05:11:34Z,0.599,479890
witzkel,2020-11-04T05:11:34Z,0.374,479890
coonsc,2020-11-04T05:13:20Z,0.594,487444
witzkel,2020-11-04T05:13:20Z,0.379,487444
coonsc,2020-11-04T05:16:20Z,0.594,487446
witzkel,2020-11-04T05:16:20Z,0.379,487446
coonsc,2020-11-04T05:42:35Z,0.595,489421
witzkel,2020-11-04T05:42:35Z,0.379,489421
coonsc,2020-11-04T22:46:44Z,0.595,489461
witzkel,2020-11-04T22:46:44Z,0.379,489461
coonsc,2020-11-05T06:51:20Z,0.595,489463
witzkel,2020-11-05T06:51:20Z,0.379,489463
coonsc,2020-11-09T18:33:03Z,0.595,489473
witzkel,2020-11-09T18:33:03Z,0.379,489473
coonsc,2020-11-11T01:31:06Z,0.594,490935
witzkel,2020-11-11T01:31:06Z,0.379,490935
coonsc,2020-11-17T17:10:55.047Z,0.594,490935
witzkel,2020-11-17T17:10:55.047Z,0.379,490935
