CANDIDATE,Timestamp,VOTE_SHARES,VOTES
frankell,2020-11-04T03:13:48Z,0,0
loomerl,2020-11-04T03:13:48Z,0,0
malkemusc,2020-11-04T03:13:48Z,0,0
write-ins,2020-11-04T03:13:48Z,0,0
frankell,2020-11-04T00:28:52Z,0.635,323978
loomerl,2020-11-04T00:28:52Z,0.348,323978
malkemusc,2020-11-04T00:28:52Z,0.017,323978
write-ins,2020-11-04T00:28:52Z,0,323978
frankell,2020-11-04T00:36:49Z,0.635,324188
loomerl,2020-11-04T00:36:49Z,0.347,324188
malkemusc,2020-11-04T00:36:49Z,0.017,324188
write-ins,2020-11-04T00:36:49Z,0.001,324188
frankell,2020-11-04T00:48:49Z,0.616,348652
loomerl,2020-11-04T00:48:49Z,0.367,348652
malkemusc,2020-11-04T00:48:49Z,0.017,348652
write-ins,2020-11-04T00:48:49Z,0.001,348652
frankell,2020-11-04T00:56:37Z,0.615,348672
loomerl,2020-11-04T00:56:37Z,0.367,348672
malkemusc,2020-11-04T00:56:37Z,0.017,348672
write-ins,2020-11-04T00:56:37Z,0.001,348672
frankell,2020-11-04T01:03:35Z,0.599,374187
loomerl,2020-11-04T01:03:35Z,0.383,374187
malkemusc,2020-11-04T01:03:35Z,0.018,374187
write-ins,2020-11-04T01:03:35Z,0,374187
frankell,2020-11-04T01:05:48Z,0.597,377354
loomerl,2020-11-04T01:05:48Z,0.385,377354
malkemusc,2020-11-04T01:05:48Z,0.018,377354
write-ins,2020-11-04T01:05:48Z,0,377354
frankell,2020-11-04T01:13:51Z,0.593,387843
loomerl,2020-11-04T01:13:51Z,0.389,387843
malkemusc,2020-11-04T01:13:51Z,0.018,387843
write-ins,2020-11-04T01:13:51Z,0,387843
frankell,2020-11-04T01:32:51Z,0.593,388112
loomerl,2020-11-04T01:32:51Z,0.388,388112
malkemusc,2020-11-04T01:32:51Z,0.018,388112
write-ins,2020-11-04T01:32:51Z,0.001,388112
frankell,2020-11-04T01:34:50Z,0.592,388879
loomerl,2020-11-04T01:34:50Z,0.389,388879
malkemusc,2020-11-04T01:34:50Z,0.018,388879
write-ins,2020-11-04T01:34:50Z,0.001,388879
frankell,2020-11-04T01:51:52Z,0.592,389057
loomerl,2020-11-04T01:51:52Z,0.389,389057
malkemusc,2020-11-04T01:51:52Z,0.018,389057
write-ins,2020-11-04T01:51:52Z,0.001,389057
frankell,2020-11-04T02:14:48Z,0.592,389105
loomerl,2020-11-04T02:14:48Z,0.389,389105
malkemusc,2020-11-04T02:14:48Z,0.018,389105
write-ins,2020-11-04T02:14:48Z,0.001,389105
frankell,2020-11-04T02:33:00Z,0.592,389485
loomerl,2020-11-04T02:33:00Z,0.389,389485
malkemusc,2020-11-04T02:33:00Z,0.018,389485
write-ins,2020-11-04T02:33:00Z,0.001,389485
frankell,2020-11-04T03:43:00Z,0.592,390400
loomerl,2020-11-04T03:43:00Z,0.39,390400
malkemusc,2020-11-04T03:43:00Z,0.018,390400
write-ins,2020-11-04T03:43:00Z,0.001,390400
frankell,2020-11-04T03:58:17Z,0.592,390593
loomerl,2020-11-04T03:58:17Z,0.39,390593
malkemusc,2020-11-04T03:58:17Z,0.018,390593
write-ins,2020-11-04T03:58:17Z,0.001,390593
frankell,2020-11-04T04:14:58Z,0.591,391219
loomerl,2020-11-04T04:14:58Z,0.39,391219
malkemusc,2020-11-04T04:14:58Z,0.018,391219
write-ins,2020-11-04T04:14:58Z,0.001,391219
frankell,2020-11-04T04:17:09Z,0.591,391285
loomerl,2020-11-04T04:17:09Z,0.39,391285
malkemusc,2020-11-04T04:17:09Z,0.018,391285
write-ins,2020-11-04T04:17:09Z,0.001,391285
frankell,2020-11-04T04:36:47Z,0.591,391862
loomerl,2020-11-04T04:36:47Z,0.39,391862
malkemusc,2020-11-04T04:36:47Z,0.018,391862
write-ins,2020-11-04T04:36:47Z,0.001,391862
frankell,2020-11-04T04:51:31Z,0.591,393572
loomerl,2020-11-04T04:51:31Z,0.391,393572
malkemusc,2020-11-04T04:51:31Z,0.018,393572
write-ins,2020-11-04T04:51:31Z,0.001,393572
frankell,2020-11-04T05:37:47Z,0.59,394746
loomerl,2020-11-04T05:37:47Z,0.391,394746
malkemusc,2020-11-04T05:37:47Z,0.018,394746
write-ins,2020-11-04T05:37:47Z,0.001,394746
frankell,2020-11-04T05:52:57Z,0.59,394808
loomerl,2020-11-04T05:52:57Z,0.391,394808
