COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Alachua,bidenj,12/27/2021 20:35:30.279628,46166,11451,132,None,None,None
Alachua,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Alachua,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Alachua,hawkinsh,12/27/2021 20:35:30.279628,140,75,0,None,None,None
Alachua,jorgensenj,12/27/2021 20:35:30.279628,486,476,0,None,None,None
Alachua,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Alachua,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Alachua,trumpd,12/27/2021 20:35:30.279628,14358,14773,69,None,None,None
Baker,bidenj,12/27/2021 20:35:30.279628,722,572,0,None,None,None
Baker,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Baker,trumpd,12/27/2021 20:35:30.279628,2070,3398,0,None,None,None
Bay,bidenj,12/27/2021 20:35:30.279628,12325,13289,0,None,None,0
Bay,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Bay,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Bay,hawkinsh,12/27/2021 20:35:30.279628,59,83,0,None,None,0
Bay,jorgensenj,12/27/2021 20:35:30.279628,303,701,0,None,None,0
Bay,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Bay,other,12/27/2021 20:35:30.279628,86,119,0,None,None,0
Bay,trumpd,12/27/2021 20:35:30.279628,16121,49976,0,None,None,0
Bradford,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,jorgensenj,12/27/2021 20:35:30.279628,30,43,0,None,None,None
Bradford,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Bradford,trumpd,12/27/2021 20:35:30.279628,2514,3716,0,None,None,None
Brevard,bidenj,12/27/2021 20:35:30.279628,81019,19157,0,146402,72395,0
Brevard,blankenshipd,12/27/2021 20:35:30.279628,86,48,0,146402,72395,0
Brevard,de_la_fuenter,12/27/2021 20:35:30.279628,97,69,0,146402,72395,0
Brevard,hawkinsh,12/27/2021 20:35:30.279628,238,158,0,146402,72395,0
Brevard,jorgensenj,12/27/2021 20:35:30.279628,1127,1033,0,146402,72395,0
Brevard,la_rivag,12/27/2021 20:35:30.279628,69,42,0,146402,72395,0
Brevard,other,12/27/2021 20:35:30.279628,436,282,0,146402,72395,0
Brevard,trumpd,12/27/2021 20:35:30.279628,63330,51606,0,146402,72395,0
Broward,bidenj,12/27/2021 20:35:30.279628,352424,58643,110,None,None,None
Broward,blankenshipd,12/27/2021 20:35:30.279628,145,47,0,None,None,None
Broward,de_la_fuenter,12/27/2021 20:35:30.279628,229,91,0,None,None,None
Broward,hawkinsh,12/27/2021 20:35:30.279628,702,248,0,None,None,None
Broward,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Broward,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
