CANDIDATE,Timestamp,VOTE_SHARES,VOTES
almonordv,2020-11-04T09:34:04Z,0,0
fergusond,2020-11-04T09:34:04Z,0,0
write-ins,2020-11-04T09:34:04Z,0,0
almonordv,2020-11-04T00:32:53Z,0.171,3414
fergusond,2020-11-04T00:32:53Z,0.829,3414
write-ins,2020-11-04T00:32:53Z,0,3414
almonordv,2020-11-04T00:46:45Z,0.208,12036
fergusond,2020-11-04T00:46:45Z,0.791,12036
write-ins,2020-11-04T00:46:45Z,0,12036
almonordv,2020-11-04T01:05:21Z,0.208,12038
fergusond,2020-11-04T01:05:21Z,0.791,12038
write-ins,2020-11-04T01:05:21Z,0.001,12038
almonordv,2020-11-04T01:11:56Z,0.254,22530
fergusond,2020-11-04T01:11:56Z,0.746,22530
write-ins,2020-11-04T01:11:56Z,0,22530
almonordv,2020-11-04T01:17:56Z,0.258,24016
fergusond,2020-11-04T01:17:56Z,0.742,24016
write-ins,2020-11-04T01:17:56Z,0,24016
almonordv,2020-11-04T01:29:58Z,0.403,50272
fergusond,2020-11-04T01:29:58Z,0.597,50272
write-ins,2020-11-04T01:29:58Z,0,50272
almonordv,2020-11-04T01:35:55Z,0.368,58163
fergusond,2020-11-04T01:35:55Z,0.632,58163
write-ins,2020-11-04T01:35:55Z,0,58163
almonordv,2020-11-04T01:39:54Z,0.37,65694
fergusond,2020-11-04T01:39:54Z,0.63,65694
write-ins,2020-11-04T01:39:54Z,0,65694
almonordv,2020-11-04T01:46:58Z,0.36,78913
fergusond,2020-11-04T01:46:58Z,0.64,78913
write-ins,2020-11-04T01:46:58Z,0,78913
almonordv,2020-11-04T01:47:57Z,0.328,99767
fergusond,2020-11-04T01:47:57Z,0.672,99767
write-ins,2020-11-04T01:47:57Z,0,99767
almonordv,2020-11-04T01:51:02Z,0.354,146228
fergusond,2020-11-04T01:51:02Z,0.646,146228
write-ins,2020-11-04T01:51:02Z,0,146228
almonordv,2020-11-04T01:53:53Z,0.352,147388
fergusond,2020-11-04T01:53:53Z,0.648,147388
write-ins,2020-11-04T01:53:53Z,0,147388
almonordv,2020-11-04T02:07:54Z,0.348,153437
fergusond,2020-11-04T02:07:54Z,0.652,153437
write-ins,2020-11-04T02:07:54Z,0,153437
almonordv,2020-11-04T02:09:59Z,0.349,155964
fergusond,2020-11-04T02:09:59Z,0.651,155964
write-ins,2020-11-04T02:09:59Z,0,155964
almonordv,2020-11-04T02:11:57Z,0.341,195602
fergusond,2020-11-04T02:11:57Z,0.659,195602
write-ins,2020-11-04T02:11:57Z,0,195602
almonordv,2020-11-04T02:13:56Z,0.343,221292
fergusond,2020-11-04T02:13:56Z,0.657,221292
write-ins,2020-11-04T02:13:56Z,0,221292
almonordv,2020-11-04T02:17:41Z,0.343,221303
fergusond,2020-11-04T02:17:41Z,0.657,221303
write-ins,2020-11-04T02:17:41Z,0,221303
almonordv,2020-11-04T02:23:51Z,0.341,228928
fergusond,2020-11-04T02:23:51Z,0.659,228928
write-ins,2020-11-04T02:23:51Z,0,228928
almonordv,2020-11-04T02:25:27Z,0.335,238335
fergusond,2020-11-04T02:25:27Z,0.665,238335
write-ins,2020-11-04T02:25:27Z,0,238335
almonordv,2020-11-04T02:28:32Z,0.334,238747
fergusond,2020-11-04T02:28:32Z,0.666,238747
write-ins,2020-11-04T02:28:32Z,0,238747
almonordv,2020-11-04T02:31:21Z,0.334,238756
fergusond,2020-11-04T02:31:21Z,0.666,238756
write-ins,2020-11-04T02:31:21Z,0,238756
almonordv,2020-11-04T02:34:11Z,0.332,241835
fergusond,2020-11-04T02:34:11Z,0.668,241835
write-ins,2020-11-04T02:34:11Z,0,241835
almonordv,2020-11-04T02:40:16Z,0.329,246607
fergusond,2020-11-04T02:40:16Z,0.671,246607
write-ins,2020-11-04T02:40:16Z,0,246607
almonordv,2020-11-04T02:42:42Z,0.324,256213
fergusond,2020-11-04T02:42:42Z,0.676,256213
write-ins,2020-11-04T02:42:42Z,0,256213
almonordv,2020-11-04T02:46:02Z,0.324,256984
fergusond,2020-11-04T02:46:02Z,0.676,256984
write-ins,2020-11-04T02:46:02Z,0,256984
almonordv,2020-11-04T02:51:19Z,0.324,256990
fergusond,2020-11-04T02:51:19Z,0.676,256990
write-ins,2020-11-04T02:51:19Z,0,256990
almonordv,2020-11-04T03:02:53Z,0.32,262530
fergusond,2020-11-04T03:02:53Z,0.68,262530
write-ins,2020-11-04T03:02:53Z,0,262530
almonordv,2020-11-04T03:09:54Z,0.32,263582
fergusond,2020-11-04T03:09:54Z,0.68,263582
write-ins,2020-11-04T03:09:54Z,0,263582
almonordv,2020-11-04T03:18:56Z,0.32,267235
fergusond,2020-11-04T03:18:56Z,0.68,267235
write-ins,2020-11-04T03:18:56Z,0,267235
almonordv,2020-11-04T03:21:20Z,0.32,267569
fergusond,2020-11-04T03:21:20Z,0.68,267569
write-ins,2020-11-04T03:21:20Z,0,267569
almonordv,2020-11-04T03:21:48Z,0.32,267581
fergusond,2020-11-04T03:21:48Z,0.68,267581
write-ins,2020-11-04T03:21:48Z,0,267581
almonordv,2020-11-04T03:23:35Z,0.327,290888
fergusond,2020-11-04T03:23:35Z,0.673,290888
write-ins,2020-11-04T03:23:35Z,0,290888
almonordv,2020-11-04T03:23:54Z,0.329,300329
fergusond,2020-11-04T03:23:54Z,0.671,300329
