CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T21:53:07Z,124,78,8,8,13013
buckleya,2021-01-12T21:53:07Z,169,123,8,8,13013
collinsd,2021-01-12T21:53:07Z,9671,7729,8,8,13013
fortuinj,2021-01-12T21:53:07Z,112,83,8,8,13013
graysond,2021-01-12T21:53:07Z,601,432,8,8,13013
greenem,2021-01-12T21:53:07Z,123,81,8,8,13013
jacksona,2021-01-12T21:53:07Z,498,356,8,8,13013
jacksond,2021-01-12T21:53:07Z,1752,1411,8,8,13013
jamesj,2021-01-12T21:53:07Z,428,339,8,8,13013
johnson_shealeyt,2021-01-12T21:53:07Z,597,483,8,8,13013
johnsonw,2021-01-12T21:53:07Z,385,270,8,8,13013
liebermanm,2021-01-12T21:53:07Z,756,588,8,8,13013
loefflerk,2021-01-12T21:53:07Z,14483,11375,8,8,13013
sladej,2021-01-12T21:53:07Z,259,186,8,8,13013
slowinskib,2021-01-12T21:53:07Z,439,283,8,8,13013
stovallv,2021-01-12T21:53:07Z,109,76,8,8,13013
tarvere,2021-01-12T21:53:07Z,102,84,8,8,13013
taylork,2021-01-12T21:53:07Z,424,308,8,8,13013
warnockr,2021-01-12T21:53:07Z,6025,5140,8,8,13013
winfieldr,2021-01-12T21:53:07Z,133,109,8,8,13013
write-ins,2021-01-12T21:53:07Z,0,0,8,8,13013
