CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T21:53:21Z,138,82,17,17,13015
buckleya,2021-01-12T21:53:21Z,204,141,17,17,13015
collinsd,2021-01-12T21:53:21Z,12891,9622,17,17,13015
fortuinj,2021-01-12T21:53:21Z,160,110,17,17,13015
graysond,2021-01-12T21:53:21Z,820,544,17,17,13015
greenem,2021-01-12T21:53:21Z,148,95,17,17,13015
jacksona,2021-01-12T21:53:21Z,588,380,17,17,13015
jacksond,2021-01-12T21:53:21Z,1571,1219,17,17,13015
jamesj,2021-01-12T21:53:21Z,471,367,17,17,13015
johnson_shealeyt,2021-01-12T21:53:21Z,576,442,17,17,13015
johnsonw,2021-01-12T21:53:21Z,439,266,17,17,13015
liebermanm,2021-01-12T21:53:21Z,1025,777,17,17,13015
loefflerk,2021-01-12T21:53:21Z,21183,15653,17,17,13015
sladej,2021-01-12T21:53:21Z,268,184,17,17,13015
slowinskib,2021-01-12T21:53:21Z,471,284,17,17,13015
stovallv,2021-01-12T21:53:21Z,110,71,17,17,13015
tarvere,2021-01-12T21:53:21Z,86,71,17,17,13015
taylork,2021-01-12T21:53:21Z,640,431,17,17,13015
warnockr,2021-01-12T21:53:21Z,7655,6360,17,17,13015
winfieldr,2021-01-12T21:53:21Z,175,121,17,17,13015
