CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T21:55:20Z,125,82,14,14,13039
buckleya,2021-01-12T21:55:20Z,169,114,14,14,13039
collinsd,2021-01-12T21:55:20Z,5913,4601,14,14,13039
fortuinj,2021-01-12T21:55:20Z,97,63,14,14,13039
graysond,2021-01-12T21:55:20Z,869,639,14,14,13039
greenem,2021-01-12T21:55:20Z,116,79,14,14,13039
jacksona,2021-01-12T21:55:20Z,503,349,14,14,13039
jacksond,2021-01-12T21:55:20Z,1781,1528,14,14,13039
jamesj,2021-01-12T21:55:20Z,523,413,14,14,13039
johnson_shealeyt,2021-01-12T21:55:20Z,550,428,14,14,13039
johnsonw,2021-01-12T21:55:20Z,412,295,14,14,13039
liebermanm,2021-01-12T21:55:20Z,875,732,14,14,13039
loefflerk,2021-01-12T21:55:20Z,6631,5194,14,14,13039
sladej,2021-01-12T21:55:20Z,296,231,14,14,13039
slowinskib,2021-01-12T21:55:20Z,333,212,14,14,13039
stovallv,2021-01-12T21:55:20Z,104,76,14,14,13039
tarvere,2021-01-12T21:55:20Z,109,88,14,14,13039
taylork,2021-01-12T21:55:20Z,420,311,14,14,13039
warnockr,2021-01-12T21:55:20Z,2967,2623,14,14,13039
winfieldr,2021-01-12T21:55:20Z,124,105,14,14,13039
