CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-06T23:21:08Z,32,23,7,7,13083
buckleya,2021-03-06T23:21:08Z,42,21,7,7,13083
collinsd,2021-03-06T23:21:08Z,2063,1423,7,7,13083
fortuinj,2021-03-06T23:21:08Z,29,17,7,7,13083
graysond,2021-03-06T23:21:08Z,204,128,7,7,13083
greenem,2021-03-06T23:21:08Z,54,32,7,7,13083
jacksona,2021-03-06T23:21:08Z,158,91,7,7,13083
jacksond,2021-03-06T23:21:08Z,238,192,7,7,13083
jamesj,2021-03-06T23:21:08Z,48,32,7,7,13083
johnson_shealeyt,2021-03-06T23:21:08Z,77,63,7,7,13083
johnsonw,2021-03-06T23:21:08Z,126,74,7,7,13083
liebermanm,2021-03-06T23:21:08Z,218,160,7,7,13083
loefflerk,2021-03-06T23:21:08Z,3088,2098,7,7,13083
sladej,2021-03-06T23:21:08Z,41,32,7,7,13083
slowinskib,2021-03-06T23:21:08Z,72,44,7,7,13083
stovallv,2021-03-06T23:21:08Z,18,9,7,7,13083
tarvere,2021-03-06T23:21:08Z,25,22,7,7,13083
taylork,2021-03-06T23:21:08Z,134,86,7,7,13083
warnockr,2021-03-06T23:21:08Z,461,376,7,7,13083
winfieldr,2021-03-06T23:21:08Z,29,22,7,7,13083
