CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T16:56:17Z,207,147,25,25,13097
buckleya,2021-01-13T16:56:17Z,200,141,25,25,13097
collinsd,2021-01-13T16:56:17Z,9146,7547,25,25,13097
fortuinj,2021-01-13T16:56:17Z,175,138,25,25,13097
graysond,2021-01-13T16:56:17Z,530,374,25,25,13097
greenem,2021-01-13T16:56:17Z,159,103,25,25,13097
jacksona,2021-01-13T16:56:17Z,448,319,25,25,13097
jacksond,2021-01-13T16:56:17Z,5804,4654,25,25,13097
jamesj,2021-01-13T16:56:17Z,2143,1698,25,25,13097
johnson_shealeyt,2021-01-13T16:56:17Z,1946,1533,25,25,13097
johnsonw,2021-01-13T16:56:17Z,300,199,25,25,13097
liebermanm,2021-01-13T16:56:17Z,1626,1249,25,25,13097
loefflerk,2021-01-13T16:56:17Z,14011,11560,25,25,13097
sladej,2021-01-13T16:56:17Z,710,514,25,25,13097
slowinskib,2021-01-13T16:56:17Z,375,227,25,25,13097
stovallv,2021-01-13T16:56:17Z,193,132,25,25,13097
tarvere,2021-01-13T16:56:17Z,223,176,25,25,13097
taylork,2021-01-13T16:56:17Z,325,220,25,25,13097
warnockr,2021-01-13T16:56:17Z,29454,26124,25,25,13097
winfieldr,2021-01-13T16:56:17Z,466,374,25,25,13097
