CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T22:02:55Z,123,73,17,17,13103
buckleya,2021-01-12T22:02:55Z,144,78,17,17,13103
collinsd,2021-01-12T22:02:55Z,8019,5747,17,17,13103
fortuinj,2021-01-12T22:02:55Z,71,41,17,17,13103
graysond,2021-01-12T22:02:55Z,634,390,17,17,13103
greenem,2021-01-12T22:02:55Z,78,39,17,17,13103
jacksona,2021-01-12T22:02:55Z,429,256,17,17,13103
jacksond,2021-01-12T22:02:55Z,1031,778,17,17,13103
jamesj,2021-01-12T22:02:55Z,262,185,17,17,13103
johnson_shealeyt,2021-01-12T22:02:55Z,376,274,17,17,13103
johnsonw,2021-01-12T22:02:55Z,437,275,17,17,13103
liebermanm,2021-01-12T22:02:55Z,566,408,17,17,13103
loefflerk,2021-01-12T22:02:55Z,12742,8727,17,17,13103
sladej,2021-01-12T22:02:55Z,158,116,17,17,13103
slowinskib,2021-01-12T22:02:55Z,324,168,17,17,13103
stovallv,2021-01-12T22:02:55Z,72,41,17,17,13103
tarvere,2021-01-12T22:02:55Z,52,42,17,17,13103
taylork,2021-01-12T22:02:55Z,439,273,17,17,13103
warnockr,2021-01-12T22:02:55Z,4943,3845,17,17,13103
winfieldr,2021-01-12T22:02:55Z,74,56,17,17,13103
