CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T22:03:29Z,9,9,1,1,13109
buckleya,2021-01-12T22:03:29Z,21,16,1,1,13109
collinsd,2021-01-12T22:03:29Z,1099,932,1,1,13109
fortuinj,2021-01-12T22:03:29Z,10,9,1,1,13109
graysond,2021-01-12T22:03:29Z,70,56,1,1,13109
greenem,2021-01-12T22:03:29Z,10,6,1,1,13109
jacksona,2021-01-12T22:03:29Z,52,34,1,1,13109
jacksond,2021-01-12T22:03:29Z,184,143,1,1,13109
jamesj,2021-01-12T22:03:29Z,57,45,1,1,13109
johnson_shealeyt,2021-01-12T22:03:29Z,57,45,1,1,13109
johnsonw,2021-01-12T22:03:29Z,53,38,1,1,13109
liebermanm,2021-01-12T22:03:29Z,77,62,1,1,13109
loefflerk,2021-01-12T22:03:29Z,1503,1280,1,1,13109
sladej,2021-01-12T22:03:29Z,41,21,1,1,13109
slowinskib,2021-01-12T22:03:29Z,16,12,1,1,13109
stovallv,2021-01-12T22:03:29Z,5,3,1,1,13109
tarvere,2021-01-12T22:03:29Z,19,16,1,1,13109
taylork,2021-01-12T22:03:29Z,51,35,1,1,13109
warnockr,2021-01-12T22:03:29Z,791,670,1,1,13109
winfieldr,2021-01-12T22:03:29Z,22,18,1,1,13109
