CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:41:47Z,27,19,12,12,13111
buckleya,2020-12-04T23:41:47Z,49,33,12,12,13111
collinsd,2020-12-04T23:41:47Z,7542,4999,12,12,13111
fortuinj,2020-12-04T23:41:47Z,26,15,12,12,13111
graysond,2020-12-04T23:41:47Z,190,107,12,12,13111
greenem,2020-12-04T23:41:47Z,32,16,12,12,13111
jacksona,2020-12-04T23:41:47Z,109,57,12,12,13111
jacksond,2020-12-04T23:41:47Z,263,212,12,12,13111
jamesj,2020-12-04T23:41:47Z,32,26,12,12,13111
johnson_shealeyt,2020-12-04T23:41:47Z,51,39,12,12,13111
johnsonw,2020-12-04T23:41:47Z,122,65,12,12,13111
liebermanm,2020-12-04T23:41:47Z,270,228,12,12,13111
loefflerk,2020-12-04T23:41:47Z,3877,2590,12,12,13111
sladej,2020-12-04T23:41:47Z,42,31,12,12,13111
slowinskib,2020-12-04T23:41:47Z,66,45,12,12,13111
stovallv,2020-12-04T23:41:47Z,23,13,12,12,13111
tarvere,2020-12-04T23:41:47Z,23,21,12,12,13111
taylork,2020-12-04T23:41:47Z,94,51,12,12,13111
warnockr,2020-12-04T23:41:47Z,1694,1446,12,12,13111
winfieldr,2020-12-04T23:41:47Z,39,34,12,12,13111
