CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T22:04:08Z,360,289,20,20,13117
buckleya,2021-01-12T22:04:08Z,505,413,20,20,13117
collinsd,2021-01-12T22:04:08Z,35067,31550,20,20,13117
fortuinj,2021-01-12T22:04:08Z,490,401,20,20,13117
graysond,2021-01-12T22:04:08Z,1700,1376,20,20,13117
greenem,2021-01-12T22:04:08Z,427,336,20,20,13117
jacksona,2021-01-12T22:04:08Z,1536,1270,20,20,13117
jacksond,2021-01-12T22:04:08Z,6256,5633,20,20,13117
jamesj,2021-01-12T22:04:08Z,1106,962,20,20,13117
johnson_shealeyt,2021-01-12T22:04:08Z,1611,1393,20,20,13117
johnsonw,2021-01-12T22:04:08Z,1064,861,20,20,13117
liebermanm,2021-01-12T22:04:08Z,4335,3912,20,20,13117
loefflerk,2021-01-12T22:04:08Z,44383,39526,20,20,13117
sladej,2021-01-12T22:04:08Z,762,654,20,20,13117
slowinskib,2021-01-12T22:04:08Z,1315,1010,20,20,13117
stovallv,2021-01-12T22:04:08Z,303,246,20,20,13117
tarvere,2021-01-12T22:04:08Z,371,348,20,20,13117
taylork,2021-01-12T22:04:08Z,978,783,20,20,13117
warnockr,2021-01-12T22:04:08Z,23895,22343,20,20,13117
winfieldr,2021-01-12T22:04:08Z,536,484,20,20,13117
