CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T17:07:45Z,30,22,7,7,13119
buckleya,2021-01-13T17:07:45Z,32,21,7,7,13119
collinsd,2021-01-13T17:07:45Z,6158,4723,7,7,13119
fortuinj,2021-01-13T17:07:45Z,21,18,7,7,13119
graysond,2021-01-13T17:07:45Z,188,123,7,7,13119
greenem,2021-01-13T17:07:45Z,33,24,7,7,13119
jacksona,2021-01-13T17:07:45Z,122,88,7,7,13119
jacksond,2021-01-13T17:07:45Z,303,236,7,7,13119
jamesj,2021-01-13T17:07:45Z,93,62,7,7,13119
johnson_shealeyt,2021-01-13T17:07:45Z,89,68,7,7,13119
johnsonw,2021-01-13T17:07:45Z,146,95,7,7,13119
liebermanm,2021-01-13T17:07:45Z,220,170,7,7,13119
loefflerk,2021-01-13T17:07:45Z,2258,1645,7,7,13119
sladej,2021-01-13T17:07:45Z,42,25,7,7,13119
slowinskib,2021-01-13T17:07:45Z,63,35,7,7,13119
stovallv,2021-01-13T17:07:45Z,17,10,7,7,13119
tarvere,2021-01-13T17:07:45Z,31,22,7,7,13119
taylork,2021-01-13T17:07:45Z,100,59,7,7,13119
warnockr,2021-01-13T17:07:45Z,613,502,7,7,13119
winfieldr,2021-01-13T17:07:45Z,27,20,7,7,13119
write-ins,2021-01-13T17:07:45Z,0,0,7,7,13119
