CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T22:04:29Z,1484,1177,384,384,13121
buckleya,2021-01-12T22:04:29Z,1916,1544,384,384,13121
collinsd,2021-01-12T22:04:29Z,48437,42245,384,384,13121
fortuinj,2021-01-12T22:04:29Z,1945,1560,384,384,13121
graysond,2021-01-12T22:04:29Z,2590,2023,384,384,13121
greenem,2021-01-12T22:04:29Z,1292,969,384,384,13121
jacksona,2021-01-12T22:04:29Z,3325,2596,384,384,13121
jacksond,2021-01-12T22:04:29Z,41203,34301,384,384,13121
jamesj,2021-01-12T22:04:29Z,13041,10618,384,384,13121
johnson_shealeyt,2021-01-12T22:04:29Z,13871,11516,384,384,13121
johnsonw,2021-01-12T22:04:29Z,1855,1421,384,384,13121
liebermanm,2021-01-12T22:04:29Z,20109,17628,384,384,13121
loefflerk,2021-01-12T22:04:29Z,83536,72206,384,384,13121
sladej,2021-01-12T22:04:29Z,6744,5499,384,384,13121
slowinskib,2021-01-12T22:04:29Z,3423,2650,384,384,13121
stovallv,2021-01-12T22:04:29Z,1745,1366,384,384,13121
tarvere,2021-01-12T22:04:29Z,2391,2111,384,384,13121
taylork,2021-01-12T22:04:29Z,1906,1461,384,384,13121
warnockr,2021-01-12T22:04:29Z,263365,240064,384,384,13121
winfieldr,2021-01-12T22:04:29Z,3429,2846,384,384,13121
