CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-12T22:04:38Z,35,24,13,13,13123
buckleya,2021-01-12T22:04:38Z,47,30,13,13,13123
collinsd,2021-01-12T22:04:38Z,7711,5338,13,13,13123
fortuinj,2021-01-12T22:04:38Z,43,30,13,13,13123
graysond,2021-01-12T22:04:38Z,192,115,13,13,13123
greenem,2021-01-12T22:04:38Z,24,16,13,13,13123
jacksona,2021-01-12T22:04:38Z,126,84,13,13,13123
jacksond,2021-01-12T22:04:38Z,319,256,13,13,13123
jamesj,2021-01-12T22:04:38Z,49,37,13,13,13123
johnson_shealeyt,2021-01-12T22:04:38Z,84,61,13,13,13123
johnsonw,2021-01-12T22:04:38Z,165,95,13,13,13123
liebermanm,2021-01-12T22:04:38Z,272,221,13,13,13123
loefflerk,2021-01-12T22:04:38Z,4908,3261,13,13,13123
sladej,2021-01-12T22:04:38Z,53,44,13,13,13123
slowinskib,2021-01-12T22:04:38Z,105,58,13,13,13123
stovallv,2021-01-12T22:04:38Z,21,12,13,13,13123
tarvere,2021-01-12T22:04:38Z,21,16,13,13,13123
taylork,2021-01-12T22:04:38Z,93,53,13,13,13123
warnockr,2021-01-12T22:04:38Z,1897,1640,13,13,13123
winfieldr,2021-01-12T22:04:38Z,36,29,13,13,13123
