CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-07T03:07:02Z,47,36,13,13,13131
buckleya,2021-03-07T03:07:02Z,42,27,13,13,13131
collinsd,2021-03-07T03:07:02Z,3475,2522,13,13,13131
fortuinj,2021-03-07T03:07:02Z,22,18,13,13,13131
graysond,2021-03-07T03:07:02Z,227,155,13,13,13131
greenem,2021-03-07T03:07:02Z,35,26,13,13,13131
jacksona,2021-03-07T03:07:02Z,145,99,13,13,13131
jacksond,2021-03-07T03:07:02Z,890,726,13,13,13131
jamesj,2021-03-07T03:07:02Z,241,203,13,13,13131
johnson_shealeyt,2021-03-07T03:07:02Z,316,240,13,13,13131
johnsonw,2021-03-07T03:07:02Z,130,97,13,13,13131
liebermanm,2021-03-07T03:07:02Z,294,228,13,13,13131
loefflerk,2021-03-07T03:07:02Z,2719,1922,13,13,13131
sladej,2021-03-07T03:07:02Z,103,77,13,13,13131
slowinskib,2021-03-07T03:07:02Z,44,21,13,13,13131
stovallv,2021-03-07T03:07:02Z,16,11,13,13,13131
tarvere,2021-03-07T03:07:02Z,39,36,13,13,13131
taylork,2021-03-07T03:07:02Z,145,106,13,13,13131
warnockr,2021-03-07T03:07:02Z,1406,1185,13,13,13131
winfieldr,2021-03-07T03:07:02Z,70,56,13,13,13131
write-ins,2021-03-07T03:07:02Z,0,0,13,13,13131
