CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T14:17:45Z,1413,966,156,156,13135
buckleya,2021-01-13T14:17:45Z,1563,1067,156,156,13135
collinsd,2021-01-13T14:17:45Z,57886,46769,156,156,13135
fortuinj,2021-01-13T14:17:45Z,1537,1102,156,156,13135
graysond,2021-01-13T14:17:45Z,4978,3539,156,156,13135
greenem,2021-01-13T14:17:45Z,1242,841,156,156,13135
jacksona,2021-01-13T14:17:45Z,4373,3113,156,156,13135
jacksond,2021-01-13T14:17:45Z,35908,28985,156,156,13135
jamesj,2021-01-13T14:17:45Z,9864,7751,156,156,13135
johnson_shealeyt,2021-01-13T14:17:45Z,16098,12670,156,156,13135
johnsonw,2021-01-13T14:17:45Z,3655,2548,156,156,13135
liebermanm,2021-01-13T14:17:45Z,16037,12847,156,156,13135
loefflerk,2021-01-13T14:17:45Z,88613,70622,156,156,13135
sladej,2021-01-13T14:17:45Z,4758,3502,156,156,13135
slowinskib,2021-01-13T14:17:45Z,3197,2077,156,156,13135
stovallv,2021-01-13T14:17:45Z,1191,841,156,156,13135
tarvere,2021-01-13T14:17:45Z,1743,1439,156,156,13135
taylork,2021-01-13T14:17:45Z,2487,1699,156,156,13135
warnockr,2021-01-13T14:17:45Z,142968,125413,156,156,13135
winfieldr,2021-01-13T14:17:45Z,3204,2483,156,156,13135
