CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T16:55:39Z,14,11,3,3,13155
buckleya,2021-01-13T16:55:39Z,6,6,3,3,13155
collinsd,2021-01-13T16:55:39Z,1435,1174,3,3,13155
fortuinj,2021-01-13T16:55:39Z,6,3,3,3,13155
graysond,2021-01-13T16:55:39Z,51,34,3,3,13155
greenem,2021-01-13T16:55:39Z,13,9,3,3,13155
jacksona,2021-01-13T16:55:39Z,33,22,3,3,13155
jacksond,2021-01-13T16:55:39Z,149,112,3,3,13155
jamesj,2021-01-13T16:55:39Z,43,27,3,3,13155
johnson_shealeyt,2021-01-13T16:55:39Z,79,63,3,3,13155
johnsonw,2021-01-13T16:55:39Z,51,35,3,3,13155
liebermanm,2021-01-13T16:55:39Z,42,28,3,3,13155
loefflerk,2021-01-13T16:55:39Z,1459,1139,3,3,13155
sladej,2021-01-13T16:55:39Z,13,8,3,3,13155
slowinskib,2021-01-13T16:55:39Z,15,12,3,3,13155
stovallv,2021-01-13T16:55:39Z,5,5,3,3,13155
tarvere,2021-01-13T16:55:39Z,6,6,3,3,13155
taylork,2021-01-13T16:55:39Z,48,38,3,3,13155
warnockr,2021-01-13T16:55:39Z,606,470,3,3,13155
winfieldr,2021-01-13T16:55:39Z,19,13,3,3,13155
