CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-07T03:07:18Z,16,12,7,7,13161
buckleya,2021-03-07T03:07:18Z,33,20,7,7,13161
collinsd,2021-03-07T03:07:18Z,1774,1298,7,7,13161
fortuinj,2021-03-07T03:07:18Z,8,4,7,7,13161
graysond,2021-03-07T03:07:18Z,95,60,7,7,13161
greenem,2021-03-07T03:07:18Z,14,8,7,7,13161
jacksona,2021-03-07T03:07:18Z,50,27,7,7,13161
jacksond,2021-03-07T03:07:18Z,192,149,7,7,13161
jamesj,2021-03-07T03:07:18Z,68,49,7,7,13161
johnson_shealeyt,2021-03-07T03:07:18Z,49,37,7,7,13161
johnsonw,2021-03-07T03:07:18Z,99,55,7,7,13161
liebermanm,2021-03-07T03:07:18Z,55,38,7,7,13161
loefflerk,2021-03-07T03:07:18Z,1719,1226,7,7,13161
sladej,2021-03-07T03:07:18Z,19,10,7,7,13161
slowinskib,2021-03-07T03:07:18Z,26,17,7,7,13161
stovallv,2021-03-07T03:07:18Z,11,7,7,7,13161
tarvere,2021-03-07T03:07:18Z,9,6,7,7,13161
taylork,2021-03-07T03:07:18Z,769,507,7,7,13161
warnockr,2021-03-07T03:07:18Z,590,449,7,7,13161
winfieldr,2021-03-07T03:07:18Z,7,4,7,7,13161
write-ins,2021-03-07T03:07:18Z,0,0,7,7,13161
