CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T14:24:54Z,23,16,9,9,13189
buckleya,2021-01-13T14:24:54Z,37,28,9,9,13189
collinsd,2021-01-13T14:24:54Z,2260,1976,9,9,13189
fortuinj,2021-01-13T14:24:54Z,28,22,9,9,13189
graysond,2021-01-13T14:24:54Z,116,88,9,9,13189
greenem,2021-01-13T14:24:54Z,22,13,9,9,13189
jacksona,2021-01-13T14:24:54Z,83,57,9,9,13189
jacksond,2021-01-13T14:24:54Z,669,526,9,9,13189
jamesj,2021-01-13T14:24:54Z,225,187,9,9,13189
johnson_shealeyt,2021-01-13T14:24:54Z,195,151,9,9,13189
johnsonw,2021-01-13T14:24:54Z,82,63,9,9,13189
liebermanm,2021-01-13T14:24:54Z,165,120,9,9,13189
loefflerk,2021-01-13T14:24:54Z,3503,3078,9,9,13189
sladej,2021-01-13T14:24:54Z,68,52,9,9,13189
slowinskib,2021-01-13T14:24:54Z,54,39,9,9,13189
stovallv,2021-01-13T14:24:54Z,16,13,9,9,13189
tarvere,2021-01-13T14:24:54Z,232,214,9,9,13189
taylork,2021-01-13T14:24:54Z,82,68,9,9,13189
warnockr,2021-01-13T14:24:54Z,2387,2107,9,9,13189
winfieldr,2021-01-13T14:24:54Z,60,52,9,9,13189
