CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T14:25:04Z,26,13,14,14,13199
buckleya,2021-01-13T14:25:04Z,44,35,14,14,13199
collinsd,2021-01-13T14:25:04Z,2664,1842,14,14,13199
fortuinj,2021-01-13T14:25:04Z,12,6,14,14,13199
graysond,2021-01-13T14:25:04Z,133,77,14,14,13199
greenem,2021-01-13T14:25:04Z,25,16,14,14,13199
jacksona,2021-01-13T14:25:04Z,92,55,14,14,13199
jacksond,2021-01-13T14:25:04Z,556,369,14,14,13199
jamesj,2021-01-13T14:25:04Z,161,111,14,14,13199
johnson_shealeyt,2021-01-13T14:25:04Z,208,130,14,14,13199
johnsonw,2021-01-13T14:25:04Z,90,58,14,14,13199
liebermanm,2021-01-13T14:25:04Z,131,80,14,14,13199
loefflerk,2021-01-13T14:25:04Z,3255,2105,14,14,13199
sladej,2021-01-13T14:25:04Z,54,36,14,14,13199
slowinskib,2021-01-13T14:25:04Z,34,19,14,14,13199
stovallv,2021-01-13T14:25:04Z,19,10,14,14,13199
tarvere,2021-01-13T14:25:04Z,23,17,14,14,13199
taylork,2021-01-13T14:25:04Z,83,46,14,14,13199
warnockr,2021-01-13T14:25:04Z,3018,2238,14,14,13199
winfieldr,2021-01-13T14:25:04Z,66,41,14,14,13199
