CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:52:54Z,20,16,1,1,13201
buckleya,2020-12-04T23:52:54Z,19,15,1,1,13201
collinsd,2020-12-04T23:52:54Z,883,686,1,1,13201
fortuinj,2020-12-04T23:52:54Z,6,5,1,1,13201
graysond,2020-12-04T23:52:54Z,61,44,1,1,13201
greenem,2020-12-04T23:52:54Z,7,5,1,1,13201
jacksona,2020-12-04T23:52:54Z,37,21,1,1,13201
jacksond,2020-12-04T23:52:54Z,179,135,1,1,13201
jamesj,2020-12-04T23:52:54Z,40,31,1,1,13201
johnson_shealeyt,2020-12-04T23:52:54Z,41,33,1,1,13201
johnsonw,2020-12-04T23:52:54Z,41,29,1,1,13201
liebermanm,2020-12-04T23:52:54Z,64,49,1,1,13201
loefflerk,2020-12-04T23:52:54Z,881,640,1,1,13201
sladej,2020-12-04T23:52:54Z,16,9,1,1,13201
slowinskib,2020-12-04T23:52:54Z,12,8,1,1,13201
stovallv,2020-12-04T23:52:54Z,4,3,1,1,13201
tarvere,2020-12-04T23:52:54Z,11,10,1,1,13201
taylork,2020-12-04T23:52:54Z,37,23,1,1,13201
warnockr,2020-12-04T23:52:54Z,271,202,1,1,13201
winfieldr,2020-12-04T23:52:54Z,13,10,1,1,13201
