CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-06T23:22:29Z,256,195,25,25,13215
buckleya,2021-03-06T23:22:29Z,310,235,25,25,13215
collinsd,2021-03-06T23:22:29Z,12544,10037,25,25,13215
fortuinj,2021-03-06T23:22:29Z,226,176,25,25,13215
graysond,2021-03-06T23:22:29Z,597,413,25,25,13215
greenem,2021-03-06T23:22:29Z,206,142,25,25,13215
jacksona,2021-03-06T23:22:29Z,539,389,25,25,13215
jacksond,2021-03-06T23:22:29Z,6577,5309,25,25,13215
jamesj,2021-03-06T23:22:29Z,2004,1606,25,25,13215
johnson_shealeyt,2021-03-06T23:22:29Z,2048,1669,25,25,13215
johnsonw,2021-03-06T23:22:29Z,391,265,25,25,13215
liebermanm,2021-03-06T23:22:29Z,2432,2002,25,25,13215
loefflerk,2021-03-06T23:22:29Z,15307,12200,25,25,13215
sladej,2021-03-06T23:22:29Z,900,692,25,25,13215
slowinskib,2021-03-06T23:22:29Z,488,315,25,25,13215
stovallv,2021-03-06T23:22:29Z,233,172,25,25,13215
tarvere,2021-03-06T23:22:29Z,677,571,25,25,13215
taylork,2021-03-06T23:22:29Z,422,272,25,25,13215
warnockr,2021-03-06T23:22:29Z,32560,28927,25,25,13215
winfieldr,2021-03-06T23:22:29Z,631,492,25,25,13215
write-ins,2021-03-06T23:22:29Z,0,0,25,25,13215
