CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T14:27:55Z,222,170,19,19,13223
buckleya,2021-01-13T14:27:55Z,305,230,19,19,13223
collinsd,2021-01-13T14:27:55Z,18444,15497,19,19,13223
fortuinj,2021-01-13T14:27:55Z,252,191,19,19,13223
graysond,2021-01-13T14:27:55Z,1215,891,19,19,13223
greenem,2021-01-13T14:27:55Z,247,184,19,19,13223
jacksona,2021-01-13T14:27:55Z,1024,760,19,19,13223
jacksond,2021-01-13T14:27:55Z,4234,3544,19,19,13223
jamesj,2021-01-13T14:27:55Z,1338,1105,19,19,13223
johnson_shealeyt,2021-01-13T14:27:55Z,1424,1171,19,19,13223
johnsonw,2021-01-13T14:27:55Z,762,546,19,19,13223
liebermanm,2021-01-13T14:27:55Z,1750,1411,19,19,13223
loefflerk,2021-01-13T14:27:55Z,30597,25349,19,19,13223
sladej,2021-01-13T14:27:55Z,604,454,19,19,13223
slowinskib,2021-01-13T14:27:55Z,759,517,19,19,13223
stovallv,2021-01-13T14:27:55Z,204,154,19,19,13223
tarvere,2021-01-13T14:27:55Z,181,156,19,19,13223
taylork,2021-01-13T14:27:55Z,931,694,19,19,13223
warnockr,2021-01-13T14:27:55Z,19118,17047,19,19,13223
winfieldr,2021-01-13T14:27:55Z,375,321,19,19,13223
