CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T14:29:19Z,28,19,1,1,13241
buckleya,2021-01-13T14:29:19Z,39,30,1,1,13241
collinsd,2021-01-13T14:29:19Z,4576,3927,1,1,13241
fortuinj,2021-01-13T14:29:19Z,30,26,1,1,13241
graysond,2021-01-13T14:29:19Z,102,78,1,1,13241
greenem,2021-01-13T14:29:19Z,15,10,1,1,13241
jacksona,2021-01-13T14:29:19Z,86,64,1,1,13241
jacksond,2021-01-13T14:29:19Z,191,161,1,1,13241
jamesj,2021-01-13T14:29:19Z,42,34,1,1,13241
johnson_shealeyt,2021-01-13T14:29:19Z,53,43,1,1,13241
johnsonw,2021-01-13T14:29:19Z,74,51,1,1,13241
liebermanm,2021-01-13T14:29:19Z,207,177,1,1,13241
loefflerk,2021-01-13T14:29:19Z,2475,2075,1,1,13241
sladej,2021-01-13T14:29:19Z,41,35,1,1,13241
slowinskib,2021-01-13T14:29:19Z,71,49,1,1,13241
stovallv,2021-01-13T14:29:19Z,17,11,1,1,13241
tarvere,2021-01-13T14:29:19Z,26,22,1,1,13241
taylork,2021-01-13T14:29:19Z,69,45,1,1,13241
warnockr,2021-01-13T14:29:19Z,1223,1132,1,1,13241
winfieldr,2021-01-13T14:29:19Z,21,16,1,1,13241
