CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T16:51:28Z,50,38,11,11,13261
buckleya,2021-01-13T16:51:28Z,17,14,11,11,13261
collinsd,2021-01-13T16:51:28Z,2735,2025,11,11,13261
fortuinj,2021-01-13T16:51:28Z,23,17,11,11,13261
graysond,2021-01-13T16:51:28Z,88,64,11,11,13261
greenem,2021-01-13T16:51:28Z,49,36,11,11,13261
jacksona,2021-01-13T16:51:28Z,94,65,11,11,13261
jacksond,2021-01-13T16:51:28Z,808,600,11,11,13261
jamesj,2021-01-13T16:51:28Z,190,141,11,11,13261
johnson_shealeyt,2021-01-13T16:51:28Z,240,176,11,11,13261
johnsonw,2021-01-13T16:51:28Z,74,41,11,11,13261
liebermanm,2021-01-13T16:51:28Z,270,211,11,11,13261
loefflerk,2021-01-13T16:51:28Z,2553,1896,11,11,13261
sladej,2021-01-13T16:51:28Z,71,54,11,11,13261
slowinskib,2021-01-13T16:51:28Z,36,17,11,11,13261
stovallv,2021-01-13T16:51:28Z,13,8,11,11,13261
tarvere,2021-01-13T16:51:28Z,57,46,11,11,13261
taylork,2021-01-13T16:51:28Z,78,50,11,11,13261
warnockr,2021-01-13T16:51:28Z,4474,3759,11,11,13261
winfieldr,2021-01-13T16:51:28Z,58,39,11,11,13261
