CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:46:39Z,13,8,3,3,13269
buckleya,2020-12-04T23:46:39Z,10,8,3,3,13269
collinsd,2020-12-04T23:46:39Z,1050,903,3,3,13269
fortuinj,2020-12-04T23:46:39Z,6,6,3,3,13269
graysond,2020-12-04T23:46:39Z,50,45,3,3,13269
greenem,2020-12-04T23:46:39Z,7,4,3,3,13269
jacksona,2020-12-04T23:46:39Z,20,15,3,3,13269
jacksond,2020-12-04T23:46:39Z,209,157,3,3,13269
jamesj,2020-12-04T23:46:39Z,37,28,3,3,13269
johnson_shealeyt,2020-12-04T23:46:39Z,41,34,3,3,13269
johnsonw,2020-12-04T23:46:39Z,42,34,3,3,13269
liebermanm,2020-12-04T23:46:39Z,50,35,3,3,13269
loefflerk,2020-12-04T23:46:39Z,1173,1011,3,3,13269
sladej,2020-12-04T23:46:39Z,13,10,3,3,13269
slowinskib,2020-12-04T23:46:39Z,13,11,3,3,13269
stovallv,2020-12-04T23:46:39Z,7,7,3,3,13269
tarvere,2020-12-04T23:46:39Z,12,11,3,3,13269
taylork,2020-12-04T23:46:39Z,34,23,3,3,13269
warnockr,2020-12-04T23:46:39Z,962,767,3,3,13269
winfieldr,2020-12-04T23:46:39Z,20,12,3,3,13269
