CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-06T23:23:24Z,13,11,6,6,13273
buckleya,2021-03-06T23:23:24Z,11,8,6,6,13273
collinsd,2021-03-06T23:23:24Z,824,569,6,6,13273
fortuinj,2021-03-06T23:23:24Z,14,11,6,6,13273
graysond,2021-03-06T23:23:24Z,39,26,6,6,13273
greenem,2021-03-06T23:23:24Z,14,8,6,6,13273
jacksona,2021-03-06T23:23:24Z,20,9,6,6,13273
jacksond,2021-03-06T23:23:24Z,384,252,6,6,13273
jamesj,2021-03-06T23:23:24Z,71,46,6,6,13273
johnson_shealeyt,2021-03-06T23:23:24Z,117,86,6,6,13273
johnsonw,2021-03-06T23:23:24Z,32,16,6,6,13273
liebermanm,2021-03-06T23:23:24Z,93,63,6,6,13273
loefflerk,2021-03-06T23:23:24Z,1058,708,6,6,13273
sladej,2021-03-06T23:23:24Z,42,30,6,6,13273
slowinskib,2021-03-06T23:23:24Z,18,9,6,6,13273
stovallv,2021-03-06T23:23:24Z,4,2,6,6,13273
tarvere,2021-03-06T23:23:24Z,17,13,6,6,13273
taylork,2021-03-06T23:23:24Z,27,11,6,6,13273
warnockr,2021-03-06T23:23:24Z,1508,1213,6,6,13273
winfieldr,2021-03-06T23:23:24Z,42,29,6,6,13273
write-ins,2021-03-06T23:23:24Z,0,0,6,6,13273
