CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-01-13T16:52:48Z,78,61,20,20,13275
buckleya,2021-01-13T16:52:48Z,120,82,20,20,13275
collinsd,2021-01-13T16:52:48Z,5759,4615,20,20,13275
fortuinj,2021-01-13T16:52:48Z,59,41,20,20,13275
graysond,2021-01-13T16:52:48Z,418,335,20,20,13275
greenem,2021-01-13T16:52:48Z,69,51,20,20,13275
jacksona,2021-01-13T16:52:48Z,282,210,20,20,13275
jacksond,2021-01-13T16:52:48Z,1953,1582,20,20,13275
jamesj,2021-01-13T16:52:48Z,557,449,20,20,13275
johnson_shealeyt,2021-01-13T16:52:48Z,567,460,20,20,13275
johnsonw,2021-01-13T16:52:48Z,277,209,20,20,13275
liebermanm,2021-01-13T16:52:48Z,692,583,20,20,13275
loefflerk,2021-01-13T16:52:48Z,5725,4567,20,20,13275
sladej,2021-01-13T16:52:48Z,229,177,20,20,13275
slowinskib,2021-01-13T16:52:48Z,109,67,20,20,13275
stovallv,2021-01-13T16:52:48Z,34,25,20,20,13275
tarvere,2021-01-13T16:52:48Z,112,102,20,20,13275
taylork,2021-01-13T16:52:48Z,293,211,20,20,13275
warnockr,2021-01-13T16:52:48Z,3809,3216,20,20,13275
winfieldr,2021-01-13T16:52:48Z,111,88,20,20,13275
