CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:37:45Z,41,30,5,5,13279
buckleya,2020-12-04T23:37:45Z,43,29,5,5,13279
collinsd,2020-12-04T23:37:45Z,3503,2796,5,5,13279
fortuinj,2020-12-04T23:37:45Z,18,15,5,5,13279
graysond,2020-12-04T23:37:45Z,159,100,5,5,13279
greenem,2020-12-04T23:37:45Z,21,12,5,5,13279
jacksona,2020-12-04T23:37:45Z,102,64,5,5,13279
jacksond,2020-12-04T23:37:45Z,456,343,5,5,13279
jamesj,2020-12-04T23:37:45Z,116,92,5,5,13279
johnson_shealeyt,2020-12-04T23:37:45Z,183,133,5,5,13279
johnsonw,2020-12-04T23:37:45Z,139,85,5,5,13279
liebermanm,2020-12-04T23:37:45Z,175,140,5,5,13279
loefflerk,2020-12-04T23:37:45Z,3456,2701,5,5,13279
sladej,2020-12-04T23:37:45Z,40,25,5,5,13279
slowinskib,2020-12-04T23:37:45Z,53,23,5,5,13279
stovallv,2020-12-04T23:37:45Z,17,11,5,5,13279
tarvere,2020-12-04T23:37:45Z,21,17,5,5,13279
taylork,2020-12-04T23:37:45Z,315,202,5,5,13279
warnockr,2020-12-04T23:37:45Z,1760,1446,5,5,13279
winfieldr,2020-12-04T23:37:45Z,33,24,5,5,13279
