CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:48:35Z,10,10,2,2,13283
buckleya,2020-12-04T23:48:35Z,20,15,2,2,13283
collinsd,2020-12-04T23:48:35Z,917,761,2,2,13283
fortuinj,2020-12-04T23:48:35Z,7,4,2,2,13283
graysond,2020-12-04T23:48:35Z,50,35,2,2,13283
greenem,2020-12-04T23:48:35Z,3,2,2,2,13283
jacksona,2020-12-04T23:48:35Z,24,18,2,2,13283
jacksond,2020-12-04T23:48:35Z,173,150,2,2,13283
jamesj,2020-12-04T23:48:35Z,43,39,2,2,13283
johnson_shealeyt,2020-12-04T23:48:35Z,46,40,2,2,13283
johnsonw,2020-12-04T23:48:35Z,30,19,2,2,13283
liebermanm,2020-12-04T23:48:35Z,51,41,2,2,13283
loefflerk,2020-12-04T23:48:35Z,965,767,2,2,13283
sladej,2020-12-04T23:48:35Z,11,7,2,2,13283
slowinskib,2020-12-04T23:48:35Z,9,4,2,2,13283
stovallv,2020-12-04T23:48:35Z,3,2,2,2,13283
tarvere,2020-12-04T23:48:35Z,4,2,2,2,13283
taylork,2020-12-04T23:48:35Z,38,28,2,2,13283
warnockr,2020-12-04T23:48:35Z,551,483,2,2,13283
winfieldr,2020-12-04T23:48:35Z,10,7,2,2,13283
