CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:48:07Z,7,5,2,2,13309
buckleya,2020-12-04T23:48:07Z,8,6,2,2,13309
collinsd,2020-12-04T23:48:07Z,694,520,2,2,13309
fortuinj,2020-12-04T23:48:07Z,5,3,2,2,13309
graysond,2020-12-04T23:48:07Z,46,37,2,2,13309
greenem,2020-12-04T23:48:07Z,5,2,2,2,13309
jacksona,2020-12-04T23:48:07Z,18,8,2,2,13309
jacksond,2020-12-04T23:48:07Z,98,65,2,2,13309
jamesj,2020-12-04T23:48:07Z,17,13,2,2,13309
johnson_shealeyt,2020-12-04T23:48:07Z,34,21,2,2,13309
johnsonw,2020-12-04T23:48:07Z,34,17,2,2,13309
liebermanm,2020-12-04T23:48:07Z,31,22,2,2,13309
loefflerk,2020-12-04T23:48:07Z,688,490,2,2,13309
sladej,2020-12-04T23:48:07Z,12,7,2,2,13309
slowinskib,2020-12-04T23:48:07Z,7,4,2,2,13309
stovallv,2020-12-04T23:48:07Z,0,0,2,2,13309
tarvere,2020-12-04T23:48:07Z,6,4,2,2,13309
taylork,2020-12-04T23:48:07Z,51,40,2,2,13309
warnockr,2020-12-04T23:48:07Z,460,339,2,2,13309
winfieldr,2020-12-04T23:48:07Z,7,5,2,2,13309
