CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2020-12-04T23:44:10Z,181,93,23,23,13313
buckleya,2020-12-04T23:44:10Z,176,116,23,23,13313
collinsd,2020-12-04T23:44:10Z,9455,6326,23,23,13313
fortuinj,2020-12-04T23:44:10Z,160,107,23,23,13313
graysond,2020-12-04T23:44:10Z,766,459,23,23,13313
greenem,2020-12-04T23:44:10Z,184,109,23,23,13313
jacksona,2020-12-04T23:44:10Z,657,389,23,23,13313
jacksond,2020-12-04T23:44:10Z,2429,1721,23,23,13313
jamesj,2020-12-04T23:44:10Z,552,393,23,23,13313
johnson_shealeyt,2020-12-04T23:44:10Z,661,453,23,23,13313
johnsonw,2020-12-04T23:44:10Z,555,338,23,23,13313
liebermanm,2020-12-04T23:44:10Z,1314,938,23,23,13313
loefflerk,2020-12-04T23:44:10Z,12905,8436,23,23,13313
sladej,2020-12-04T23:44:10Z,356,246,23,23,13313
slowinskib,2020-12-04T23:44:10Z,328,180,23,23,13313
stovallv,2020-12-04T23:44:10Z,104,60,23,23,13313
tarvere,2020-12-04T23:44:10Z,178,144,23,23,13313
taylork,2020-12-04T23:44:10Z,500,296,23,23,13313
warnockr,2020-12-04T23:44:10Z,3876,2981,23,23,13313
winfieldr,2020-12-04T23:44:10Z,256,177,23,23,13313
