CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bartella,2021-03-07T03:09:52Z,12,6,7,7,13317
buckleya,2021-03-07T03:09:52Z,11,7,7,7,13317
collinsd,2021-03-07T03:09:52Z,1131,868,7,7,13317
fortuinj,2021-03-07T03:09:52Z,9,5,7,7,13317
graysond,2021-03-07T03:09:52Z,63,47,7,7,13317
greenem,2021-03-07T03:09:52Z,13,8,7,7,13317
jacksona,2021-03-07T03:09:52Z,42,25,7,7,13317
jacksond,2021-03-07T03:09:52Z,386,267,7,7,13317
jamesj,2021-03-07T03:09:52Z,106,84,7,7,13317
johnson_shealeyt,2021-03-07T03:09:52Z,94,69,7,7,13317
johnsonw,2021-03-07T03:09:52Z,38,24,7,7,13317
liebermanm,2021-03-07T03:09:52Z,101,70,7,7,13317
loefflerk,2021-03-07T03:09:52Z,1493,1120,7,7,13317
sladej,2021-03-07T03:09:52Z,45,30,7,7,13317
slowinskib,2021-03-07T03:09:52Z,18,9,7,7,13317
stovallv,2021-03-07T03:09:52Z,5,4,7,7,13317
tarvere,2021-03-07T03:09:52Z,38,32,7,7,13317
taylork,2021-03-07T03:09:52Z,19,12,7,7,13317
warnockr,2021-03-07T03:09:52Z,1257,1005,7,7,13317
winfieldr,2021-03-07T03:09:52Z,24,15,7,7,13317
write-ins,2021-03-07T03:09:52Z,0,0,7,7,13317
