CANDIDATE,Timestamp,VOTE_SHARES,VOTES
casee,2020-11-04T09:56:24Z,0,0
curtisr,2020-11-04T09:56:24Z,0,0
casee,2020-11-04T09:30:37Z,0.734,242059
curtisr,2020-11-04T09:30:37Z,0.266,242059
casee,2020-11-04T11:29:48Z,0.724,247014
curtisr,2020-11-04T11:29:48Z,0.276,247014
casee,2020-11-04T17:32:48Z,0.72,254147
curtisr,2020-11-04T17:32:48Z,0.28,254147
casee,2020-11-13T01:45:53Z,0.72,254433
curtisr,2020-11-13T01:45:53Z,0.28,254433
casee,2020-11-19T22:56:35.290Z,0.72,254433
curtisr,2020-11-19T22:56:35.290Z,0.28,254433
casee,2020-11-24T12:32:53Z,0.72,254433
curtisr,2020-11-24T12:32:53Z,0.28,254433
casee,2020-12-15T15:42:37.870Z,0.72,254433
curtisr,2020-12-15T15:42:37.870Z,0.28,254433
