CANDIDATE,Timestamp,VOTE_SHARES,VOTES
jordanp,2020-11-04T10:02:24Z,0,0
rischj,2020-11-04T10:02:24Z,0,0
jordanp,2020-11-04T04:07:11Z,0.123,154
rischj,2020-11-04T04:07:11Z,0.87,154
jordanp,2020-11-04T04:13:41Z,0.526,188507
rischj,2020-11-04T04:13:41Z,0.446,188507
jordanp,2020-11-04T04:17:56Z,0.503,216176
rischj,2020-11-04T04:17:56Z,0.468,216176
jordanp,2020-11-04T04:22:49Z,0.492,226292
rischj,2020-11-04T04:22:49Z,0.479,226292
jordanp,2020-11-04T04:23:06Z,0.484,240277
rischj,2020-11-04T04:23:06Z,0.486,240277
jordanp,2020-11-04T04:28:29Z,0.483,241352
rischj,2020-11-04T04:28:29Z,0.487,241352
jordanp,2020-11-04T04:30:32Z,0.481,265324
rischj,2020-11-04T04:30:32Z,0.488,265324
jordanp,2020-11-04T04:36:21Z,0.452,324848
rischj,2020-11-04T04:36:21Z,0.517,324848
jordanp,2020-11-04T04:43:08Z,0.442,348299
rischj,2020-11-04T04:43:08Z,0.526,348299
jordanp,2020-11-04T04:47:47Z,0.433,387395
rischj,2020-11-04T04:47:47Z,0.535,387395
jordanp,2020-11-04T04:51:56Z,0.438,395910
rischj,2020-11-04T04:51:56Z,0.53,395910
jordanp,2020-11-04T04:52:34Z,0.435,400830
rischj,2020-11-04T04:52:34Z,0.532,400830
jordanp,2020-11-04T04:54:53Z,0.435,401141
rischj,2020-11-04T04:54:53Z,0.533,401141
jordanp,2020-11-04T04:57:41Z,0.432,409398
rischj,2020-11-04T04:57:41Z,0.535,409398
jordanp,2020-11-04T04:59:15Z,0.424,421404
rischj,2020-11-04T04:59:15Z,0.542,421404
jordanp,2020-11-04T05:00:30Z,0.422,424582
rischj,2020-11-04T05:00:30Z,0.544,424582
jordanp,2020-11-04T05:03:05Z,0.421,426231
rischj,2020-11-04T05:03:05Z,0.545,426231
jordanp,2020-11-04T05:05:30Z,0.417,438836
rischj,2020-11-04T05:05:30Z,0.549,438836
jordanp,2020-11-04T05:09:09Z,0.417,441437
rischj,2020-11-04T05:09:09Z,0.549,441437
jordanp,2020-11-04T05:11:50Z,0.417,455226
rischj,2020-11-04T05:11:50Z,0.549,455226
jordanp,2020-11-04T05:14:50Z,0.415,460911
rischj,2020-11-04T05:14:50Z,0.551,460911
jordanp,2020-11-04T05:20:27Z,0.415,461859
rischj,2020-11-04T05:20:27Z,0.551,461859
jordanp,2020-11-04T05:24:18Z,0.413,466561
rischj,2020-11-04T05:24:18Z,0.553,466561
jordanp,2020-11-04T05:26:59Z,0.407,481554
rischj,2020-11-04T05:26:59Z,0.558,481554
jordanp,2020-11-04T05:29:22Z,0.404,492203
rischj,2020-11-04T05:29:22Z,0.561,492203
jordanp,2020-11-04T05:42:41Z,0.403,494153
rischj,2020-11-04T05:42:41Z,0.562,494153
jordanp,2020-11-04T05:46:42Z,0.397,508334
rischj,2020-11-04T05:46:42Z,0.567,508334
jordanp,2020-11-04T05:52:53Z,0.396,514692
rischj,2020-11-04T05:52:53Z,0.568,514692
jordanp,2020-11-04T05:54:25Z,0.398,519483
rischj,2020-11-04T05:54:25Z,0.566,519483
jordanp,2020-11-04T05:59:01Z,0.397,521158
rischj,2020-11-04T05:59:01Z,0.567,521158
jordanp,2020-11-04T05:59:55Z,0.38,565759
rischj,2020-11-04T05:59:55Z,0.582,565759
jordanp,2020-11-04T06:01:21Z,0.381,566829
rischj,2020-11-04T06:01:21Z,0.582,566829
jordanp,2020-11-04T06:02:15Z,0.38,575797
rischj,2020-11-04T06:02:15Z,0.583,575797
