CANDIDATE,Timestamp,VOTE_SHARES,VOTES
rushb,2020-11-04T05:59:39Z,0,0
whitep,2020-11-04T05:59:39Z,0,0
rushb,2020-11-04T01:35:12Z,0.44,35747
whitep,2020-11-04T01:35:12Z,0.56,35747
rushb,2020-11-04T02:00:19Z,0.496,40096
whitep,2020-11-04T02:00:19Z,0.504,40096
rushb,2020-11-04T02:14:54Z,0.61,53886
whitep,2020-11-04T02:14:54Z,0.39,53886
rushb,2020-11-04T02:20:45Z,0.588,57430
whitep,2020-11-04T02:20:45Z,0.412,57430
rushb,2020-11-04T02:23:24Z,0.564,61467
whitep,2020-11-04T02:23:24Z,0.436,61467
rushb,2020-11-04T02:47:20Z,0.603,68412
whitep,2020-11-04T02:47:20Z,0.397,68412
rushb,2020-11-04T02:57:38Z,0.579,74221
whitep,2020-11-04T02:57:38Z,0.421,74221
rushb,2020-11-04T02:58:56Z,0.739,133698
whitep,2020-11-04T02:58:56Z,0.261,133698
rushb,2020-11-04T03:03:09Z,0.727,136903
whitep,2020-11-04T03:03:09Z,0.273,136903
rushb,2020-11-04T03:15:36Z,0.752,152986
whitep,2020-11-04T03:15:36Z,0.248,152986
rushb,2020-11-04T03:23:31Z,0.766,164197
whitep,2020-11-04T03:23:31Z,0.234,164197
rushb,2020-11-04T03:36:36Z,0.702,229877
whitep,2020-11-04T03:36:36Z,0.298,229877
rushb,2020-11-04T03:39:37Z,0.696,232684
whitep,2020-11-04T03:39:37Z,0.304,232684
rushb,2020-11-04T03:45:02Z,0.702,237314
whitep,2020-11-04T03:45:02Z,0.298,237314
rushb,2020-11-04T04:02:30Z,0.704,239112
whitep,2020-11-04T04:02:30Z,0.296,239112
rushb,2020-11-04T04:27:50Z,0.703,239134
whitep,2020-11-04T04:27:50Z,0.297,239134
rushb,2020-11-04T04:33:13Z,0.703,241534
whitep,2020-11-04T04:33:13Z,0.297,241534
rushb,2020-11-04T04:34:57Z,0.711,248931
whitep,2020-11-04T04:34:57Z,0.289,248931
rushb,2020-11-04T04:55:16Z,0.714,252182
whitep,2020-11-04T04:55:16Z,0.286,252182
rushb,2020-11-04T05:07:56Z,0.718,256494
whitep,2020-11-04T05:07:56Z,0.282,256494
rushb,2020-11-04T05:51:56Z,0.727,266900
whitep,2020-11-04T05:51:56Z,0.273,266900
rushb,2020-11-04T06:06:49Z,0.726,267646
whitep,2020-11-04T06:06:49Z,0.274,267646
rushb,2020-11-04T06:14:49Z,0.727,268786
whitep,2020-11-04T06:14:49Z,0.273,268786
rushb,2020-11-05T19:13:49Z,0.725,273176
whitep,2020-11-05T19:13:49Z,0.275,273176
rushb,2020-11-05T21:42:40Z,0.725,275895
whitep,2020-11-05T21:42:40Z,0.275,275895
rushb,2020-11-06T03:14:39Z,0.725,277196
whitep,2020-11-06T03:14:39Z,0.275,277196
rushb,2020-11-07T03:24:43Z,0.724,281977
whitep,2020-11-07T03:24:43Z,0.276,281977
rushb,2020-11-08T22:11:53Z,0.724,282659
whitep,2020-11-08T22:11:53Z,0.276,282659
rushb,2020-11-11T14:38:45Z,0.738,301188
whitep,2020-11-11T14:38:45Z,0.262,301188
rushb,2020-11-11T14:46:32Z,0.738,305777
whitep,2020-11-11T14:46:32Z,0.262,305777
rushb,2020-11-12T15:11:58Z,0.736,307991
whitep,2020-11-12T15:11:58Z,0.264,307991
rushb,2020-11-14T03:21:58Z,0.735,315134
whitep,2020-11-14T03:21:58Z,0.265,315134
rushb,2020-11-19T16:29:14Z,0.739,320845
whitep,2020-11-19T16:29:14Z,0.261,320845
rushb,2020-11-19T16:34:38Z,0.738,323085
whitep,2020-11-19T16:34:38Z,0.262,323085
rushb,2020-11-19T19:05:14.017Z,0.738,323085
whitep,2020-11-19T19:05:14.017Z,0.262,323085
rushb,2020-11-20T14:42:44Z,0.738,323357
whitep,2020-11-20T14:42:44Z,0.262,323357
rushb,2020-11-20T14:54:54Z,0.738,323583
whitep,2020-11-20T14:54:54Z,0.262,323583
rushb,2020-11-24T15:02:29Z,0.739,324367
whitep,2020-11-24T15:02:29Z,0.261,324367
rushb,2020-11-24T15:11:38Z,0.739,324849
whitep,2020-11-24T15:11:38Z,0.261,324849
rushb,2020-12-04T20:04:35Z,0.738,324961
whitep,2020-12-04T20:04:35Z,0.262,324961
rushb,2020-12-08T16:03:11Z,0.738,324970
whitep,2020-12-08T16:03:11Z,0.262,324970
rushb,2020-12-06T02:36:27.693Z,0.738,324970
whitep,2020-12-06T02:36:27.693Z,0.262,324970
rushb,2021-01-26T19:30:09Z,0.738,324970
whitep,2021-01-26T19:30:09Z,0.262,324970
